,Unnamed: 0_x,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x.1,PPG_x,FGM_x,FGA_x,FGM_x.1,FGA_x.1,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x.1,GP_y.1,PPG_y,FGM_y,FGA_y,FGM_y.1,FGA_y.1,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y.1,GP_x.2,PPG_x.1,FTM_x,FTA_x,FTM_x.1,FTA_x.1,FT%_x,GP_y.2,PPG_y.1,FTM_y,FTA_y,FTM_y.1,FTA_y.1,FT%_y,GP_x.3,PPG_x.2,3PM_x,3PA_x,3PM_x.1,3PA_x.1,3P%_x,2PM_x.1,2PA_x.1,2P%_x.1,PPS_x.1,FG%_x.2,GP_y.3,PPG_y.2,3PM_y,3PA_y,3PM_y.1,3PA_y.1,3P%_y,2PM_y.1,2PA_y.1,2P%_y.1,PPS_y.1,FG%_y.2,GP_x.4,MPG_x.1,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y.4,MPG_y.1,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x.5,MPG_x.2,STL_x,STPG_x,STP40M_x,TO_x.1,TOPG_x.1,PF_x,ST/TO_x,ST/PF_x,GP_y.5,MPG_y.2,STL_y,STPG_y,STP40M_y,TO_y.1,TOPG_y.1,PF_y,ST/TO_y,ST/PF_y,GP_x.6,MPG_x.3,BLK_x,PF_x.1,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y.6,MPG_y.3,BLK_y,PF_y.1,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x.7,MPG_x.4,PTS_x,FGM-FGA_x,FG%_x.3,3PM-3PA_x,3P%_x.1,FTM-FTA_x,FT%_x.1,GP_y.7,MPG_y.4,PTS_y,FGM-FGA_y,FG%_y.3,3PM-3PA_y,3P%_y.1,FTM-FTA_y,FT%_y.1,GP_x.8,MPG_x.5,PTS_x.1,FGM-FGA_x.1,FG%_x.4,3PM-3PA_x.1,3P%_x.2,FTM-FTA_x.1,FT%_x.2,GP_y.8,MPG_y.5,PTS_y.1,FGM-FGA_y.1,FG%_y.4,3PM-3PA_y.1,3P%_y.2,FTM-FTA_y.1,FT%_y.2,Unnamed: 0_y,Team,Salary,Position,Season,Percentile
569,569,Joe Young,ORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28.5,6,6,12,12,1,34,20.2,3.3,3.6,112,122,0.918,,,,,,,,,,,,,,,,,,,,,,,,,2,40,8,4,5,2.5,4,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40,28.5,10.0-20.0,0.5,2.5-6.0,0.417,6.0-6.0,1,34,36.5,20.2,7.2-16.2,0.444,2.5-7.1,0.354,3.3-3.6,0.918,2,40,57,20-40,0.5,12-May,0.417,12-Dec,1,34,36.5,688,245-552,0.444,86-243,0.354,112-122,0.918,5239,Indiana Pacers,1007026, G,2015-2016,0.207852194
828,828,Joel Anthony,UNLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16.3,4,10,1.33,3.27,0.4,34,18.2,105,80,3.09,6.77,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2798,Miami Heat,3300000, PF,2010-2011,0.565995526
150,150,Joel Bolomboy,WEB,1,39,7,7,9,9,16,16,16.4,32,31.4,106,3.3,299,9.3,405,12.7,16.1,,,,,,,,,,,,,32,17.2,5.8,10.1,187,322,0.581,168,270,0.622,1.71,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,33.2,51,71,1.7,2.05,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5727,Utah Jazz,600000, PF,2016-2017,0.138528139
343,343,Joel Embiid,KU,,,,,,,,,,28,23.1,65,2.3,162,5.8,227,8.1,14,,,,,,,,,,,,,28,11.2,3.8,6.1,107,171,0.626,106,166,0.639,1.83,0.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,23.1,72,94,2.57,4.45,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4609,Philadelphia 76ers,4427640, C,2014-2015,0.659770115
151,151,Joey Dorsey,MEM,6,29.7,19,3.2,35,5.8,54,9,12.1,33,25,144,4.4,172,5.2,316,9.6,15.3,,,,,,,,,,,,,33,8.7,3.4,5.4,111,177,0.627,111,176,0.631,1.63,0.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,29.7,14,18,2.33,3.15,0.78,33,25,77,91,2.33,3.74,0.85,,,,,,,,,,,,,,,,,,,6,29.7,39,18-29,0.621,0-0,0,12-Mar,0.25,,,,,,,,,,2129,Houston Rockets,816500, PF,2008-2009,0.135135135
152,152,Joey Graham,OKST,5,31.8,9,1.8,24,4.8,33,6.6,8.3,,,,,,,,,,5,13.6,5.4,8.6,27,43,0.628,24,35,0.686,1.58,0.663,30,12.2,4.8,8.5,144,254,0.567,133,233,0.571,1.44,0.589,3,13.7,4,4.7,12,14,0.857,30,18.1,4.8,5.4,145,163,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,31.1,18.1,6.3-11.7,0.536,0.8-1.7,0.46,4.8-5.4,0.89,5,31.8,68,27-43,0.628,8-Mar,0.375,21-Nov,0.524,30,31.1,544,188-351,0.536,23-50,0.46,145-163,0.89,818,Toronto Raptors,1388400, SF,2005-2006,0.3175
153,153,John Collins,WAKE,1,36,4,4,5,5,9,9,10,32,26.3,120,3.8,195,6.1,315,9.8,15,1,26,9,13,9,13,0.692,9,13,0.692,2,0.692,32,18.9,7,11.3,225,363,0.62,225,362,0.622,1.67,0.62,1,26,8,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,26.3,52,96,1.63,2.47,0.54,1,36,26,9.0-13.0,0.692,0.0-0.0,0,8.0-8.0,1,32,26.3,18.9,7.0-11.3,0.62,0.0-0.0,0,4.9-6.6,0.736,,,,,,,,,,32,26.3,606,225-363,0.62,0-1,0,156-212,0.736,6072,Atlanta Hawks,2299080, PF,2017-2018,0.393088553
154,154,John Edwards,KENT,1,34,4,4,6,6,10,10,11.8,,,,,,,,,,1,13,5,9,5,9,0.556,5,9,0.556,1.44,0.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25.8,80,94,2.67,4.13,0.85,1,25,16,7.0-7.0,1,0.0-0.0,0,2.0-4.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,Atlanta Hawks,1000000, C,2005-2006,0.2275
155,155,John Henson,UNC,4,29.8,12,3,30,7.5,42,10.5,14.1,33,26.4,108,3.3,224,6.8,332,10.1,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24.4,8,9,1.6,2.62,0.89,33,26.4,103,55,3.12,4.74,1.87,,,,,,,,,,,,,,,,,,,5,24.4,46,21-42,0.5,0-0,0,12-Apr,0.333,,,,,,,,,,3832,Milwaukee Bucks,1823280, F,2012-2013,0.459510358
424,424,John Jenkins,VAN,,,,,,,,,,,,,,,,,,,1,21,6,9,6,9,0.667,2,3,0.667,2.33,0.889,,,,,,,,,,,,,1,21,5,5,5,5,1,31,19.5,4.5,5,139,156,0.891,1,21,4,6,4,6,0.667,2,3,0.667,2.33,0.889,30,10.9,2.3,5,70,146,0.479,35,78,0.449,1.46,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32.5,20,5.0-12.5,0.4,2.5-8.5,0.294,7.5-9.5,0.789,33,33.7,19.9,6.3-13.1,0.478,3.9-8.7,0.448,3.4-4.1,0.843,,,,,,,,,,33,33.7,656,207-433,0.478,129-288,0.448,113-134,0.843,3881,Atlanta Hawks,1204560, G,2012-2013,0.367231638
570,570,John Lucas III,OKST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,3.3,3.3,10,10,1,30,15.4,2.6,2.9,77,87,0.885,,,,,,,,,,,,,30,18.1,3.1,7,94,215,0.437,97,200,0.485,1.31,0.573,5,36.4,20,4,14,2.8,4.4,1.43,30,35.9,130,4.3,49,1.6,4.8,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,35.9,18.1,6.4-13.8,0.46,3.1-7.2,0.437,2.2-2.5,0.892,5,36.4,65,24-68,0.353,31-Aug,0.258,10-Sep,0.9,30,35.9,542,191-415,0.46,94-215,0.437,66-74,0.892,1310,Houston Rockets,700000, PG,2006-2007,0.118357488
425,425,John Salmons,MIA,,,,,,,,,,,,,,,,,,,1,16,6,10,6,10,0.6,5,7,0.714,1.6,0.65,,,,,,,,,,,,,,,,,,,,31,13,3.9,4.6,120,142,0.845,,,,,,,,,,,,,,,,,,,,,,,,,1,28,4,4,5,5,5.7,0.8,31,33.8,191,6.2,114,3.7,7.3,1.68,,,,,,,,,,,31,33.8,57,1.84,2.17,114,3.68,71,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,Philadelphia 76ers,1699001, SF,2005-2006,0.3775
156,156,John Shurna,NW,3,40.3,6,2,20,6.7,26,8.7,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23.5,5,9,10,18,0.556,4,16,0.25,1.38,0.559,29,16.5,2.3,5,67,145,0.462,89,176,0.506,1.49,0.59,2,38,9,4.5,6,3,4.7,1.5,,,,,,,,,2,38,5,2.5,2.63,6,3,5,0.83,1,,,,,,,,,,,3,40.3,4,6,1.33,1.32,0.67,,,,,,,,3,40.3,17.7,6.7-15.0,0.444,2.7-9.3,0.286,1.7-2.7,0.625,33,36.3,18.3,6.4-13.8,0.464,2.3-6.4,0.354,3.2-4.1,0.772,3,40.3,53,20-45,0.444,28-Aug,0.286,8-May,0.625,33,36.3,604,212-457,0.464,75-212,0.354,105-136,0.772,4010,New York Knicks,473604, SF,2012-2013,0.124293785
760,760,John Wall,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33.3,31,7.8,16,4,9.3,1.94,33,35,210,6.4,133,4,7.3,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33.3,58,21-43,0.488,18-Jul,0.389,16-Sep,0.563,33,35,558,181-395,0.458,30-96,0.313,166-216,0.769,2740,Washington Wizards,5144280, PG,2010-2011,0.695749441
344,344,Johnny O'Bryant III,LSU,,,,,,,,,,29,29.1,89,3.1,164,5.7,253,8.7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4845,Milwaukee Bucks,600000, PF,2014-2015,0.117241379
157,157,Jon Brockman,WASH,2,30,7,3.5,25,12.5,32,16,21.3,31,31.7,137,4.4,221,7.1,358,11.5,14.6,2,15,6.5,11,13,22,0.591,13,22,0.591,1.36,0.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,2,2,3.08,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,26,22,9.0-13.0,0.692,0.0-0.0,0,4.0-8.0,0.5,31,31.7,17.6,7.4-13.8,0.531,0.0-0.0,0,2.9-5.6,0.52,,,,,,,,,,31,31.7,546,228-429,0.531,0-0,0,90-173,0.52,2573,Sacramento Kings,457588, PF,2009-2010,0.073809524
664,664,Jon Leuer,WIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,18.6,3.2,3.8,100,118,0.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,39,21.5,8.0-14.0,0.571,1.0-2.5,0.4,4.5-6.0,0.75,31,33.6,18.6,6.9-14.4,0.477,1.6-4.4,0.378,3.2-3.8,0.847,3,32,44,14-36,0.389,11-Mar,0.273,13-16,0.813,31,33.6,577,213-447,0.477,51-135,0.378,100-118,0.847,3493,Milwaukee Bucks,473604, PF,2011-2012,0.105263158
665,665,Jonathan Gibson,NMSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,17.5,2.8,3.3,93,110,0.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,2,2,2.22,2,2,4,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32.5,17.5,5.8-13.0,0.449,3.1-7.6,0.405,2.8-3.3,0.845,,,,,,,,,,33,32.5,579,192-428,0.449,102-252,0.405,93-110,0.845,5747,Dallas Mavericks,469943, G,2016-2017,0.095238095
158,158,Jonathan Isaac,FSU,2,33.5,1,0.5,21,10.5,22,11,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.5,4,7,2,2.39,0.57,30,25.7,45,63,1.5,2.33,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5986,Orlando Magic,4969080, PF,2017-2018,0.578833693
761,761,Jonny Flynn,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,20,6.7,14,4.7,6.8,1.43,35,37.2,234,6.7,115,3.3,7.2,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,37.2,17.5,5.7-12.6,0.451,1.2-3.8,0.323,4.9-6.3,0.779,3,39,49,20-35,0.571,9-Feb,0.222,7-Jul,1,35,37.2,614,199-441,0.451,43-133,0.323,173-222,0.779,2394,Minnesota Timberwolves,2969280, PG,2009-2010,0.5
666,666,Jordan Adams,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,17.2,4.5,5.4,149,178,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,30.3,73,2.21,2.92,40,1.21,69,1.83,1.06,,,,,,,,,,,,,,,3,30.7,19,7.3-13.0,0.564,1.3-4.3,0.308,3.0-3.7,0.818,,,,,,,,,,3,30.7,57,22-39,0.564,13-Apr,0.308,11-Sep,0.818,33,30,569,186-390,0.477,48-133,0.361,149-178,0.837,4760,Memphis Grizzlies,1344120, SG,2014-2015,0.312643678
571,571,Jordan Clarkson,MIZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,3,3.5,6,7,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,35,17.7,6.0-13.4,0.449,0.9-3.3,0.278,4.7-5.7,0.83,,,,,,,,,,33,35,584,199-443,0.449,30-108,0.278,156-188,0.83,5396,Los Angeles Lakers,12500000, PG,2016-2017,0.854978355
762,762,Jordan Crawford,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,4,4,0,0,7.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2933,Washington Wizards,1042320, G,2010-2011,0.263982103
850,850,Jordan Crawford,XAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,29,11.0-21.7,0.508,4.0-10.0,0.4,3.0-3.7,0.818,32,32.2,19.7,7.1-15.6,0.456,2.1-5.4,0.39,3.4-4.5,0.769,3,39,87,33-65,0.508,30-Dec,0.4,11-Sep,0.818,32,32.2,631,227-498,0.456,67-172,0.39,110-143,0.769,2933,Washington Wizards,1042320, G,2010-2011,0.263982103
763,763,Jordan Farmar,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31.8,25,4.2,20,3.3,5.2,1.25,28,34.3,148,5.3,109,3.9,6.2,1.36,1,36,2,2,2.22,4,4,3,0.5,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31.8,75,27-73,0.37,Dec-39,0.308,14-Sep,0.643,,,,,,,,,,1282,Los Angeles Lakers,939120, PG,2006-2007,0.185990338
159,159,Jordan Hamilton,TEX,2,34.5,4,2,12,6,16,8,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,5,10,5,10,0.5,1,3,0.333,1.46,0.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34.5,18.5,7.5-17.5,0.429,1.5-5.0,0.3,2.0-3.0,0.667,34,32.1,18.6,6.7-15.2,0.441,2.6-6.6,0.388,2.7-3.4,0.784,,,,,,,,,,34,32.1,634,228-517,0.441,87-224,0.388,91-116,0.784,3384,Denver Nuggets,1121520, SG,2011-2012,0.325910931
160,160,Jordan Hill,ARIZ,3,34.3,17,5.7,16,5.3,33,11,12.8,31,35.8,126,4.1,216,7,342,11,12.3,,,,,,,,,,,,,33,13.2,5.4,8.7,179,288,0.622,179,288,0.622,1.51,0.622,1,16,6,7,6,7,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,35.8,57,91,1.84,2.05,0.63,,,,,,,,,,31,35.8,18.5,7.5-13.8,0.548,0.0-0.0,0,3.4-5.3,0.65,3,34.3,47,18-42,0.429,0-0,0,16-Nov,0.688,31,35.8,574,234-427,0.548,0-0,0,106-163,0.65,2413,New York Knicks,2483280, C,2009-2010,0.454761905
764,764,Jordan Hill,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43,10,10,4,4,9.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43,19,6.0-18.0,0.333,4.0-10.0,0.4,3.0-4.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,2413,New York Knicks,2483280, C,2009-2010,0.454761905
426,426,Jordan Mathews,CAL,,,,,,,,,,,,,,,,,,,1,23,9,15,9,15,0.6,6,7,0.857,1.53,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7.7,1.7,3,5,9,0.556,3,5,0.6,1.64,0.75,33,13.6,2.1,5,70,158,0.443,73,163,0.448,1.4,0.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,23,9.0-15.0,0.6,3.0-8.0,0.375,2.0-2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6210,Atlanta Hawks,815615, SG,2017-2018,0.095032397
873,873,Jordan Mathews,GONZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,30.8,72,22-62,0.355,17-45,0.378,17-Nov,0.647,,,,,,,,,,6210,Atlanta Hawks,815615, SG,2017-2018,0.095032397
765,765,Jordan McRae,TENN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,4,4,2,2,4.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35.5,6,4,1.5,1.69,1.5,,,,,,,,4,35.5,19.8,7.0-15.3,0.459,1.0-5.8,0.174,4.8-6.3,0.76,33,31.8,18.6,5.9-13.7,0.432,2.3-6.1,0.371,4.5-5.7,0.791,4,35.5,79,28-61,0.459,23-Apr,0.174,19-25,0.76,33,31.8,613,195-451,0.432,75-202,0.371,148-187,0.791,5321,Phoenix Suns,111196, SG,2015-2016,0.018475751
161,161,Jordan Mickey,LSU,2,36,4,2,11,5.5,15,7.5,8.3,30,34.8,96,3.2,198,6.6,294,9.8,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36,5,6,2.5,2.78,0.83,30,34.8,107,79,3.57,4.1,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5214,Boston Celtics,1170960, F,2015-2016,0.265588915
572,572,Jorge Gutierrez,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20.5,6.5,7,13,14,0.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,8,4,9,4.5,5.3,0.89,31,33.7,140,4.5,91,2.9,5.4,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,20.5,6.5-12.5,0.52,1.0-3.5,0.286,6.5-7.0,0.929,,,,,,,,,,2,30,41,13-25,0.52,7-Feb,0.286,13-14,0.929,,,,,,,,,,4452,Brooklyn Nets,54785, PG,2013-2014,0.023376623
162,162,Josh Akognon,CSF,1,37,1,1,7,7,8,8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,4,5,4,5,0.8,32,23.9,4.1,4.6,132,148,0.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37,3,3,3.24,3,3,2,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,1,37,31,11.0-23.0,0.478,5.0-12.0,0.417,4.0-5.0,0.8,32,35.6,23.9,7.8-19.3,0.401,4.3-11.4,0.372,4.1-4.6,0.892,,,,,,,,,,32,35.6,764,248-618,0.401,136-366,0.372,132-148,0.892,4014,Dallas Mavericks,473604, PG,2012-2013,0.116760829
163,163,Josh Boone,CONN,6,26,19,3.2,20,3.3,39,6.5,10,29,29.4,108,3.7,143,4.9,251,8.7,11.8,4,8,2.8,5,11,20,0.55,11,20,0.55,1.6,0.55,30,10.6,4.2,7.4,126,223,0.565,126,223,0.565,1.43,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30.5,4,3,2,2.62,1.33,29,29.4,86,61,2.97,4.03,1.41,,,,,,,,,,,,,,,,,,,6,26,38,16-28,0.571,0-0,0,20-Jun,0.3,,,,,,,,,,1264,New Jersey Nets,1053960, C,2006-2007,0.229468599
164,164,Josh Childress,STAN,2,32,6,3,10,5,16,8,10,31,34.1,69,2.2,184,5.9,253,8.2,9.6,,,,,,,,,,,,,,,,,,,,,,,,,2,19,3.5,3.5,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,7,5,3.5,4,1.4,,,,,,,,2,32,19,7.0-16.0,0.438,1.5-4.5,0.333,3.5-3.5,1,,,,,,,,,,2,32,38,14-32,0.438,9-Mar,0.333,7-Jul,1,,,,,,,,,,743,Atlanta Hawks,2677200, F,2005-2006,0.505
165,165,Josh Davis,SDSU,3,38,13,4.3,28,9.3,41,13.7,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3937,Memphis Grizzlies,854389, SF,2012-2013,0.261770245
345,345,Josh Davis,TULN,,,,,,,,,,33,35.6,137,4.2,208,6.3,345,10.5,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,35.6,17.6,5.9-11.9,0.495,0.0-0.1,0.5,5.8-8.0,0.721,,,,,,,,,,33,35.6,582,195-394,0.495,2-Jan,0.5,191-265,0.721,3937,Memphis Grizzlies,854389, SF,2012-2013,0.261770245
427,427,Josh Davis,WYO,,,,,,,,,,,,,,,,,,,2,14,5.5,9.5,11,19,0.579,11,19,0.579,1.47,0.579,,,,,,,,,,,,,2,14,3,3,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,6,8,3,3.43,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3937,Memphis Grizzlies,854389, SF,2012-2013,0.261770245
166,166,Josh Harrellson,UK,5,34.4,19,3.8,21,4.2,40,8,9.3,33,27.6,121,3.7,168,5.1,289,8.8,12.7,5,13,5.6,7.8,28,39,0.718,28,39,0.718,1.67,0.718,33,6.8,3,5.1,99,169,0.586,97,159,0.61,1.33,0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,34.4,6,9,1.2,1.4,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,5,34.4,65,28-39,0.718,0-0,0,20-Sep,0.45,,,,,,,,,,3489,New York Knicks,473604, C,2011-2012,0.113360324
