,Unnamed: 0_x,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x.1,PPG_x,FGM_x,FGA_x,FGM_x.1,FGA_x.1,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x.1,GP_y.1,PPG_y,FGM_y,FGA_y,FGM_y.1,FGA_y.1,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y.1,GP_x.2,PPG_x.1,FTM_x,FTA_x,FTM_x.1,FTA_x.1,FT%_x,GP_y.2,PPG_y.1,FTM_y,FTA_y,FTM_y.1,FTA_y.1,FT%_y,GP_x.3,PPG_x.2,3PM_x,3PA_x,3PM_x.1,3PA_x.1,3P%_x,2PM_x.1,2PA_x.1,2P%_x.1,PPS_x.1,FG%_x.2,GP_y.3,PPG_y.2,3PM_y,3PA_y,3PM_y.1,3PA_y.1,3P%_y,2PM_y.1,2PA_y.1,2P%_y.1,PPS_y.1,FG%_y.2,GP_x.4,MPG_x.1,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y.4,MPG_y.1,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x.5,MPG_x.2,STL_x,STPG_x,STP40M_x,TO_x.1,TOPG_x.1,PF_x,ST/TO_x,ST/PF_x,GP_y.5,MPG_y.2,STL_y,STPG_y,STP40M_y,TO_y.1,TOPG_y.1,PF_y,ST/TO_y,ST/PF_y,GP_x.6,MPG_x.3,BLK_x,PF_x.1,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y.6,MPG_y.3,BLK_y,PF_y.1,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x.7,MPG_x.4,PTS_x,FGM-FGA_x,FG%_x.3,3PM-3PA_x,3P%_x.1,FTM-FTA_x,FT%_x.1,GP_y.7,MPG_y.4,PTS_y,FGM-FGA_y,FG%_y.3,3PM-3PA_y,3P%_y.1,FTM-FTA_y,FT%_y.1,GP_x.8,MPG_x.5,PTS_x.1,FGM-FGA_x.1,FG%_x.4,3PM-3PA_x.1,3P%_x.2,FTM-FTA_x.1,FT%_x.2,GP_y.8,MPG_y.5,PTS_y.1,FGM-FGA_y.1,FG%_y.4,3PM-3PA_y.1,3P%_y.2,FTM-FTA_y.1,FT%_y.2,Unnamed: 0_y,Team,Salary,Position,Season,Percentile
9,9,Alexander Johnson,FSU,2,30,7,3.5,12,6,19,9.5,12.7,,,,,,,,,,2,21,9,12.5,18,25,0.72,18,22,0.818,1.68,0.72,31,9.5,3.1,5.6,97,175,0.554,97,174,0.557,1.68,0.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22.5,4,4,2,3.56,1,,,,,,,,2,30,21,9.0-12.5,0.72,0.0-1.5,0,3.0-5.0,0.6,,,,,,,,,,2,30,42,18-25,0.72,0-3,0,10-Jun,0.6,,,,,,,,,,2598,Miami Heat,29135, SF,2009-2010,0.014285714
800,800,Allen Crabbe,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36,4,2,2.22,5,2.5,3,0.8,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,36.2,18.7,6.6-14.3,0.462,2.0-5.6,0.349,3.5-4.3,0.813,,,,,,,,,,31,36.2,580,205-444,0.462,61-175,0.349,109-134,0.813,4395,Portland Trail Blazers,825000, SG,2013-2014,0.171428571
377,377,Alonzo Gee,ALA,,,,,,,,,,,,,,,,,,,1,14,6,9,6,9,0.667,6,8,0.75,1.56,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,4,4,8.42,5,5,5,0.8,0.8,,,,,,,,,,,1,19,1,5,1,2.11,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2594,Washington Wizards,45759, SF,2009-2010,0.023809524
10,10,Amile Jefferson,DUKE,2,32.5,8,4,13,6.5,21,10.5,12.9,33,29.5,76,2.3,196,5.9,272,8.2,11.2,,,,,,,,,,,,,33,10.9,4.2,6.8,139,224,0.621,139,224,0.621,1.61,0.621,2,11,4,4.5,8,9,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32.5,9,7,4.5,5.54,1.29,33,29.5,56,86,1.7,2.3,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6253,Orlando Magic,4608, PF,2017-2018,0.002159827
781,781,Amir Johnson,RAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,36.3,169,5.3,106,3.3,5.8,1.59,1,38,3,3,3.16,5,5,2,0.6,1.5,28,35.8,53,1.89,2.11,118,4.21,92,0.45,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931,Detroit Pistons,398762, C,2005-2006,0.035
639,639,Andre Barrett,HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,16.7,4.1,5,120,144,0.833,,,,,,,,,,,,,,,,,,,,,,,,,2,39,11,5.5,6,3,5.6,1.83,29,37.9,154,5.3,99,3.4,5.6,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38,17,7.0-15.0,0.467,1.0-6.0,0.167,2.0-2.0,1,29,35.9,17.6,6.1-13.3,0.457,2.4-6.1,0.392,3.0-4.0,0.765,,,,,,,,,,29,35.9,509,176-385,0.457,69-176,0.392,88-115,0.765,1301,Chicago Bulls,744551, SG,2006-2007,0.140096618
11,11,Andre Brown,DEP,2,35,5,2.5,8,4,13,6.5,7.4,26,31.8,111,4.3,134,5.2,245,9.4,11.9,2,14,7,10,14,20,0.7,14,20,0.7,1.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,2,7,1,1.14,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344,Seattle SuperSonics,406340, PF,2006-2007,0.036231884
717,717,Andre Dawkins,DUKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,7.9,1.7,4,59,137,0.431,31,50,0.62,1.44,0.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4895,Miami Heat,29843, SG,2014-2015,0.002298851
818,818,Andre Drummond,CONN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,4,5,4,6.15,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3796,Detroit Pistons,2356320, C,2012-2013,0.527306968
316,316,Andre Iguodala,ARIZ,,,,,,,,,,29,31.9,71,2.4,179,6.2,250,8.6,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,2,3,2,3,0.667,6,12,0.5,1.27,0.6,,,,,,,,,,,,,,,,,,,,,29,31.9,146,5,80,2.8,6.3,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,19,8.0-15.0,0.533,2.0-3.0,0.667,1.0-2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,Philadelphia 76ers,2058000, SG,2005-2006,0.435
