,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x,PPG_x,FGM_x,FGA_x,FGM_x,FGA_x,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,FGM_y,FGA_y,FGM_y,FGA_y,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,PPG_x,FTM_x,FTA_x,FTM_x,FTA_x,FT%_x,GP_y,PPG_y,FTM_y,FTA_y,FTM_y,FTA_y,FT%_y,GP_x,PPG_x,3PM_x,3PA_x,3PM_x,3PA_x,3P%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,3PM_y,3PA_y,3PM_y,3PA_y,3P%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,MPG_x,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y,MPG_y,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x,MPG_x,STL_x,STPG_x,STP40M_x,TO_x,TOPG_x,PF_x,ST/TO_x,ST/PF_x,GP_y,MPG_y,STL_y,STPG_y,STP40M_y,TO_y,TOPG_y,PF_y,ST/TO_y,ST/PF_y,GP_x,MPG_x,BLK_x,PF_x,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y,MPG_y,BLK_y,PF_y,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y
20,Aron Baynes,WSU,1,34.0,5,5.0,5,5.0,10,10.0,11.8,,,,,,,,,,1,19.0,6.0,10.0,6,10,.600,6,10,.600,1.90,.600,32,10.2,3.7,6.3,118,201,.587,118,200,.590,1.62,.587,2,8.0,2.0,2.5,4,5,.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34.0,2,4,2.00,2.35,0.50,,,,,,,,1,34.0,19.0,6.0-10.0,.600,0.0-0.0,.000,7.0-9.0,.778,,,,,,,,,,3,26.0,39,17-24,.708,0-0,.000,5-11,.455,,,,,,,,,
21,Bam Adebayo,UK,4,34.8,13,3.3,26,6.5,39,9.8,11.2,,,,,,,,,,,,,,,,,,,,,,34,13.3,4.5,7.4,154,251,.614,154,251,.614,1.80,.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,29.6,53,94,1.56,2.11,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bernard James,FSU,3,24.0,6,2.0,19,6.3,25,8.3,13.9,,,,,,,,,,3,10.7,5.0,7.3,15,22,.682,15,22,.682,1.45,.682,31,8.4,3.3,5.0,102,156,.654,102,156,.654,1.67,.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32.5,6,6,3.00,3.69,1.00,31,20.9,71,52,2.29,4.39,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Blake Griffin,OKLA,4,35.3,24,6.0,36,9.0,60,15.0,17.0,31,28.3,104,3.4,186,6.0,290,9.4,13.2,2,10.0,5.0,6.5,10,13,.769,10,13,.769,1.54,.769,31,15.0,5.6,10.0,174,311,.559,174,309,.563,1.49,.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35.3,28.5,11.5-14.8,.780,0.0-0.0,.000,5.5-9.5,.579,31,33.0,21.9,8.2-12.9,.635,0.1-0.3,.375,5.5-9.2,.591,4,35.3,114,46-59,.780,0-0,.000,22-38,.579,31,33.0,680,254-400,.635,3-8,.375,169-286,.591
24,Bobby Jones,WASH,3,23.7,10,3.3,11,3.7,21,7.0,11.8,,,,,,,,,,3,12.7,4.0,6.3,12,19,.632,8,14,.571,2.00,.737,30,11.2,4.2,7.3,126,220,.573,125,212,.590,1.52,.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24.0,3,3.00,5.00,1,1.00,5,3.00,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23.7,38,12-19,.632,4-5,.800,10-17,.588,,,,,,,,,
25,Bobby Portis,ARK,2,25.0,8,4.0,15,7.5,23,11.5,18.4,34,29.6,120,3.5,174,5.1,294,8.6,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34.0,6,3.00,3.53,5,2.50,4,1.20,1.50,,,,,,,,,,,2,25.0,4,4,2.00,3.20,1.00,,,,,,,,,,,,,,,,,34,29.6,17.5,7.1-12.9,.547,0.4-0.8,.464,3.0-4.1,.746,,,,,,,,,,34,29.6,596,240-439,.547,13-28,.464,103-138,.746
26,Bradley Beal,FLA,4,33.0,8,2.0,25,6.3,33,8.3,10.0,,,,,,,,,,4,15.8,5.8,9.5,23,38,.605,15,19,.789,1.66,.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33.0,63,23-38,.605,8-19,.421,9-13,.692,,,,,,,,,
27,Brandan Wright,UNC,4,29.3,14,3.5,14,3.5,28,7.0,9.6,,,,,,,,,,4,12.8,5.0,9.8,20,39,.513,20,39,.513,1.31,.513,33,15.0,6.3,9.5,208,314,.662,208,314,.662,1.57,.662,4,12.8,2.8,3.5,11,14,.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29.3,8,9,2.00,2.74,0.89,33,27.2,57,46,1.73,2.54,1.24,,,,,,,,,,,,,,,,,,,4,29.3,51,20-39,.513,0-0,.000,11-14,.786,,,,,,,,,
28,Branden Dawson,MSU,4,32.3,9,2.3,26,6.5,35,8.8,10.9,30,30.0,90,3.0,184,6.1,274,9.1,12.2,4,16.3,6.5,10.3,26,41,.634,26,40,.650,1.59,.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30.8,13,11,2.60,3.38,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,4,32.3,65,26-41,.634,0-1,.000,13-16,.813,,,,,,,,,
29,Brandon Bass,LSU,1,35.0,6,6.0,6,6.0,12,12.0,13.7,29,33.5,76,2.6,184,6.3,260,9.0,10.7,1,25.0,8.0,10.0,8,10,.800,8,9,.889,2.50,.800,29,17.1,6.0,10.7,173,309,.560,161,284,.567,1.60,.579,1,14.0,8.0,10.0,8,10,.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35.0,2,4,2.00,2.29,0.50,29,33.5,46,69,1.59,1.89,0.67,1,35.0,25.0,8.0-10.0,.800,0.0-1.0,.000,9.0-12.0,.750,29,33.5,17.1,6.0-10.7,.560,0.4-0.9,.480,4.7-6.1,.778,,,,,,,,,,29,33.5,495,173-309,.560,12-25,.480,137-176,.778
