,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x,PPG_x,FGM_x,FGA_x,FGM_x,FGA_x,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,FGM_y,FGA_y,FGM_y,FGA_y,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,PPG_x,FTM_x,FTA_x,FTM_x,FTA_x,FT%_x,GP_y,PPG_y,FTM_y,FTA_y,FTM_y,FTA_y,FT%_y,GP_x,PPG_x,3PM_x,3PA_x,3PM_x,3PA_x,3P%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,3PM_y,3PA_y,3PM_y,3PA_y,3P%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,MPG_x,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y,MPG_y,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x,MPG_x,STL_x,STPG_x,STP40M_x,TO_x,TOPG_x,PF_x,ST/TO_x,ST/PF_x,GP_y,MPG_y,STL_y,STPG_y,STP40M_y,TO_y,TOPG_y,PF_y,ST/TO_y,ST/PF_y,GP_x,MPG_x,BLK_x,PF_x,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y,MPG_y,BLK_y,PF_y,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y
398,Damian Jones,VAN,,,,,,,,,,,,,,,,,,,3,14.7,5.7,8.3,17,25,.680,17,25,.680,1.76,.680,32,14.2,5.7,9.6,182,306,.595,182,303,.601,1.48,.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.0,2,4,2.00,3.08,0.50,32,26.3,52,104,1.63,2.48,0.50,,,,,,,,,,,,,,,,,,,3,29.7,44,17-25,.680,0-0,.000,10-19,.526,,,,,,,,,
399,Danny Green,UNC,,,,,,,,,,,,,,,,,,,2,10.0,3.5,5.5,7,11,.636,4,5,.800,1.82,.773,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10.0,1.5,3,3,6,.500,4,5,.800,1.82,.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,28.7,8,16,1.33,1.86,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,5,21.6,51,18-43,.419,9-26,.346,6-6,1.000,,,,,,,,,
400,Darnell Jackson,KU,,,,,,,,,,,,,,,,,,,6,8.5,3.2,5.5,19,33,.576,19,33,.576,1.55,.576,34,11.6,4.5,7.1,152,240,.633,150,234,.641,1.65,.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23.2,51,19-33,.576,0-0,.000,13-18,.722,,,,,,,,,
401,Darrell Arthur,KU,,,,,,,,,,,,,,,,,,,4,7.5,3.0,5.0,12,20,.600,12,20,.600,1.50,.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17.3,7,13,1.75,4.06,0.54,34,19.2,49,90,1.44,3.01,0.54,,,,,,,,,,,,,,,,,,,6,30.3,66,30-49,.612,0-0,.000,6-10,.600,,,,,,,,,
402,Devyn Marble,IOWA,,,,,,,,,,,,,,,,,,,2,20.0,7.0,11.5,14,23,.609,6,12,.500,1.74,.783,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20.0,4.0,6,8,11,.727,6,12,.500,1.74,.783,,,,,,,,,,,,,1,36.0,5,5.0,0,0.0,5.6,0.00,,,,,,,,,5,33.0,12,2.40,2.91,11,2.20,4,1.09,3.00,32,30.0,59,1.84,2.46,57,1.78,62,1.04,0.95,,,,,,,,,,,,,,,2,33.0,20.0,7.0-11.5,.609,4.0-5.5,.727,2.0-2.0,1.000,,,,,,,,,,5,33.0,103,35-77,.455,7-25,.280,26-32,.813,,,,,,,,,
403,Deyonta Davis,MSU,,,,,,,,,,,,,,,,,,,1,10.0,5.0,8.0,5,8,.625,5,8,.625,1.25,.625,34,7.4,3.4,5.6,114,191,.597,114,191,.597,1.31,.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,18.7,63,78,1.85,3.97,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Dion Waiters,SYR,,,,,,,,,,,,,,,,,,,2,11.5,5.0,7.0,10,14,.714,8,8,1.000,1.64,.786,,,,,,,,,,,,,4,13.0,4.3,4.5,17,18,.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,25.3,52,16-37,.432,3-9,.333,17-18,.944,,,,,,,,,
405,Elgin Cook,ORE,,,,,,,,,,,,,,,,,,,2,14.0,5.0,6.0,10,12,.833,10,12,.833,2.33,.833,,,,,,,,,,,,,4,17.3,6.5,7.5,26,30,.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33.8,69,21-39,.538,1-3,.333,26-30,.867,,,,,,,,,
406,Frank Mason III,KU,,,,,,,,,,,,,,,,,,,2,16.5,5.5,9.0,11,18,.611,6,11,.545,1.83,.750,,,,,,,,,,,,,4,11.0,3.5,4.0,14,16,.875,,,,,,,,2,16.5,2.5,4,5,7,.714,6,11,.545,1.83,.750,32,20.8,2.3,5,73,150,.487,137,281,.488,1.54,.572,4,35.5,24,6.0,6,1.5,6.8,4.00,34,33.3,159,4.7,63,1.9,5.6,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35.5,22.3,7.8-15.3,.508,2.3-6.0,.375,4.5-5.0,.900,32,36.2,20.8,6.6-13.5,.487,2.3-4.7,.487,5.3-6.8,.784,4,35.5,89,31-61,.508,9-24,.375,18-20,.900,32,36.2,664,210-431,.487,73-150,.487,171-218,.784
407,Gary Forbes,UVA,,,,,,,,,,,,,,,,,,,2,13.5,5.5,9.5,11,19,.579,9,15,.600,1.42,.632,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13.5,1.0,2,2,4,.500,9,15,.600,1.42,.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24.5,3,5,1.50,2.45,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Georges Niang,ISU,,,,,,,,,,,,,,,,,,,2,13.5,6.0,9.5,12,19,.632,11,17,.647,1.42,.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,36.3,28.7,11.0-20.3,.541,2.7-5.7,.471,4.0-4.7,.857,32,32.9,19.8,7.8-14.3,.547,1.5-3.9,.381,2.6-3.3,.800,3,36.3,86,33-61,.541,8-17,.471,12-14,.857,32,32.9,632,250-457,.547,48-126,.381,84-105,.800
409,Gerald Henderson,DUKE,,,,,,,,,,,,,,,,,,,1,8.0,4.0,7.0,4,7,.571,4,7,.571,1.14,.571,,,,,,,,,,,,,2,19.5,5.5,7.0,11,14,.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31.5,6,3.00,3.81,4,2.00,5,1.50,1.20,,,,,,,,,,,,,,,,,,,,,,,,,2,31.5,19.5,6.5-11.5,.565,1.0-3.5,.286,5.5-7.0,.786,,,,,,,,,,2,31.5,39,13-23,.565,2-7,.286,11-14,.786,34,29.4,566,202-429,.471,40-111,.360,122-164,.744
410,Glenn Robinson III,MICH,,,,,,,,,,,,,,,,,,,6,12.7,5.2,8.0,31,48,.646,27,36,.750,1.58,.688,33,10.7,4.1,7.4,136,244,.557,117,185,.632,1.44,.596,,,,,,,,,,,,,,,4,13.8,1.5,3,6,10,.600,16,36,.444,1.20,.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,36.8,55,22-46,.478,6-10,.600,5-6,.833,,,,,,,,,
411,Greg Stiemsma,WIS,,,,,,,,,,,,,,,,,,,3,8.3,3.3,5.3,10,16,.625,10,16,.625,1.56,.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12.7,4,8,1.33,4.21,0.50,16,11.7,24,37,1.50,5.13,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Henry Walker,KSU,,,,,,,,,,,,,,,,,,,2,20.0,7.0,11.5,14,23,.609,11,17,.647,1.74,.674,,,,,,,,,,,,,2,20.0,4.5,4.5,9,9,1.000,,,,,,,,2,20.0,1.5,3,3,6,.500,11,17,.647,1.74,.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29.0,20.0,7.0-11.5,.609,1.5-3.0,.500,4.5-4.5,1.000,,,,,,,,,,2,29.0,40,14-23,.609,3-6,.500,9-9,1.000,,,,,,,,,
413,Hilton Armstrong,CONN,,,,,,,,,,,,,,,,,,,4,8.5,3.0,5.0,12,20,.600,12,20,.600,1.70,.600,30,9.8,3.5,5.8,106,174,.609,105,172,.610,1.70,.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31.3,7,13,1.75,2.24,0.54,30,27.3,100,81,3.33,4.89,1.23,,,,,,,,,,,,,,,,,,,4,31.3,34,12-20,.600,0-0,.000,10-18,.556,,,,,,,,,
414,Hollis Thompson,GTWN,,,,,,,,,,,,,,,,,,,1,16.0,6.0,8.0,6,8,.750,3,3,1.000,2.00,.938,,,,,,,,,,,,,1,26.0,6.0,7.0,6,7,.857,,,,,,,,1,16.0,3.0,5,3,5,.600,3,3,1.000,2.00,.938,31,8.0,1.2,3,38,86,.442,52,93,.559,1.39,.609,,,,,,,,,,,,,,,,,1,30.0,2,2.00,2.67,2,2.00,4,1.00,0.50,,,,,,,,,,,1,20.0,2,5,2.00,4.00,0.40,,,,,,,,1,30.0,26.0,8.0-10.0,.800,4.0-6.0,.667,6.0-7.0,.857,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,,,2,10.5,4.5,7.0,9,14,.643,9,12,.750,1.50,.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,33.0,15,5.0,3,1.0,6.1,5.00,,,,,,,,,2,31.0,5,2.50,3.23,2,1.00,4,2.50,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,J.R. Giddens,KU,,,,,,,,,,,,,,,,,,,4,15.8,6.3,10.3,25,41,.610,15,18,.833,1.54,.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22.0,3,0,3.00,5.45,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,4,30.8,63,25-41,.610,10-23,.435,3-4,.750,,,,,,,,,
417,JaMychal Green,ALA,,,,,,,,,,,,,,,,,,,5,12.6,5.4,8.0,27,40,.675,27,40,.675,1.58,.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36.0,3,3,3.00,3.33,1.00,32,24.8,51,100,1.59,2.57,0.51,,,,,,,,,,,,,,,,,,,5,23.8,63,27-40,.675,0-0,.000,9-13,.692,,,,,,,,,
418,James Southerland,SYR,,,,,,,,,,,,,,,,,,,4,8.8,3.3,5.0,13,20,.650,7,10,.700,1.75,.800,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8.8,1.5,3,6,10,.600,7,10,.700,1.75,.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32.0,49,16-41,.390,8-24,.333,9-9,1.000,,,,,,,,,
419,James White,FLA,,,,,,,,,,,,,,,,,,,1,9.0,3.0,5.0,3,5,.600,0,1,.000,1.80,.900,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.0,3.0,4,3,4,.750,0,1,.000,1.80,.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Jared Cunningham,ORST,,,,,,,,,,,,,,,,,,,1,21.0,7.0,11.0,7,11,.636,5,8,.625,1.91,.727,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21.0,2.0,3,2,3,.667,5,8,.625,1.91,.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,33.3,7,2.33,2.80,10,3.33,6,0.70,1.17,30,29.2,85,2.83,3.88,74,2.47,79,1.15,1.08,,,,,,,,,,,,,,,1,29.0,21.0,7.0-11.0,.636,2.0-3.0,.667,5.0-7.0,.714,33,34.7,17.7,5.3-12.2,.433,1.4-4.2,.333,5.7-7.8,.738,3,33.3,62,24-38,.632,4-10,.400,10-14,.714,33,34.7,583,174-402,.433,46-138,.333,189-256,.738
421,Jarrett Jack,GT,,,,,,,,,,,,,,,,,,,2,15.5,5.5,8.5,11,17,.647,8,12,.667,1.82,.735,,,,,,,,,,,,,2,15.5,3.0,3.5,6,7,.857,30,15.5,3.9,4.5,117,135,.867,2,15.5,1.5,3,3,5,.600,8,12,.667,1.82,.735,30,15.5,1.4,3,43,99,.434,110,203,.542,1.54,.578,2,33.0,12,6.0,5,2.5,7.3,2.40,28,31.5,164,5.9,100,3.6,7.4,1.64,6,31.3,13,2.17,2.77,19,3.17,13,0.68,1.00,32,31.2,61,1.91,2.45,97,3.03,68,0.63,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31.3,68,18-47,.383,1-10,.100,31-37,.838,,,,,,,,,
422,Jarrid Famous,USF,,,,,,,,,,,,,,,,,,,1,10.0,4.0,5.0,4,5,.800,4,5,.800,2.00,.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,JeQuan Lewis,VCU,,,,,,,,,,,,,,,,,,,2,21.5,8.0,13.0,16,26,.615,11,16,.688,1.65,.712,,,,,,,,,,,,,2,21.5,3.0,3.0,6,6,1.000,34,10.7,2.6,3.1,90,106,.849,1,11.0,2.0,2,2,2,1.000,1,5,.200,1.57,.571,,,,,,,,,,,,,2,38.0,17,8.5,9,4.5,8.9,1.89,34,28.1,166,4.9,86,2.5,7.0,1.93,1,33.0,2,2.00,2.42,2,2.00,4,1.00,0.50,34,31.1,59,1.74,2.23,84,2.47,83,0.70,0.71,,,,,,,,,,,,,,,1,33.0,30.0,12.0-28.0,.429,2.0-9.0,.222,4.0-8.0,.500,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Jerami Grant,SYR,,,,,,,,,,,,,,,,,,,2,10.0,4.0,6.0,8,12,.667,8,12,.667,1.67,.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Jerel McNeal,MARQ,,,,,,,,,,,,,,,,,,,1,10.0,5.0,8.0,5,8,.625,5,7,.714,1.25,.625,,,,,,,,,,,,,2,22.0,10.0,12.0,20,24,.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,27.6,64,2.13,3.10,114,3.80,73,0.56,0.88,,,,,,,,,,,,,,,2,34.0,25.0,10.5-20.0,.525,3.0-8.5,.353,1.0-1.0,1.000,33,34.8,19.7,6.8-15.3,.447,2.5-6.2,.402,3.5-4.8,.723,2,34.0,50,21-40,.525,6-17,.353,2-2,1.000,33,34.8,649,226-506,.447,82-204,.402,115-159,.723
426,Jeremy Pargo,GONZ,,,,,,,,,,,,,,,,,,,3,14.3,5.7,8.7,17,26,.654,12,18,.667,1.65,.750,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14.3,1.7,3,5,8,.625,12,18,.667,1.65,.750,,,,,,,,,,,,,1,37.0,4,4.0,3,3.0,4.3,1.33,31,29.8,157,5.1,77,2.5,6.8,2.04,1,38.0,3,3.00,3.16,6,6.00,3,0.50,1.00,,,,,,,,,,,1,37.0,1,4,1.00,1.08,0.25,,,,,,,,1,38.0,18.0,5.0-10.0,.500,2.0-5.0,.400,6.0-8.0,.750,,,,,,,,,,3,31.3,43,17-26,.654,5-8,.625,4-5,.800,,,,,,,,,
427,Joe Crawford,UK,,,,,,,,,,,,,,,,,,,1,35.0,13.0,22.0,13,22,.591,8,14,.571,1.59,.705,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35.0,5.0,8,5,8,.625,8,14,.571,1.59,.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39.0,35.0,13.0-22.0,.591,5.0-8.0,.625,4.0-8.0,.500,29,33.4,17.3,6.0-13.1,.462,2.0-5.7,.352,3.3-4.2,.779,1,39.0,35,13-22,.591,5-8,.625,4-8,.500,,,,,,,,,
428,John Jenkins,VAN,,,,,,,,,,,,,,,,,,,1,21.0,6.0,9.0,6,9,.667,2,3,.667,2.33,.889,,,,,,,,,,,,,1,21.0,5.0,5.0,5,5,1.000,31,19.5,4.5,5.0,139,156,.891,1,13.0,2.0,3,2,3,.667,3,7,.429,1.30,.600,30,10.9,2.3,5,70,146,.479,35,78,.449,1.46,.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36.0,21.0,6.0-9.0,.667,4.0-6.0,.667,5.0-5.0,1.000,31,34.5,19.5,5.9-13.0,.458,3.1-7.7,.402,4.5-5.0,.891,,,,,,,,,,31,34.5,603,184-402,.458,96-239,.402,139-156,.891
429,John Salmons,MIA,,,,,,,,,,,,,,,,,,,1,16.0,6.0,10.0,6,10,.600,5,7,.714,1.60,.650,,,,,,,,,,,,,,,,,,,,31,13.0,3.9,4.6,120,142,.845,,,,,,,,,,,,,,,,,,,,,,,,,1,28.0,4,4.0,5,5.0,5.7,0.80,31,33.8,191,6.2,114,3.7,7.3,1.68,,,,,,,,,,,31,33.8,57,1.84,2.17,114,3.68,71,0.50,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Jordan Mathews,CAL,,,,,,,,,,,,,,,,,,,1,23.0,9.0,15.0,9,15,.600,6,7,.857,1.53,.700,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7.7,1.7,3,5,9,.556,3,5,.600,1.64,.750,33,13.6,2.1,5,70,158,.443,73,163,.448,1.40,.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31.0,23.0,9.0-15.0,.600,3.0-8.0,.375,2.0-2.0,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Josh Richardson,TENN,,,,,,,,,,,,,,,,,,,4,19.3,7.3,11.8,29,47,.617,25,32,.781,1.64,.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,36.3,67,2.09,2.31,85,2.66,79,0.79,0.85,,,,,,,,,,,,,,,4,34.0,19.3,7.3-11.8,.617,1.0-3.8,.267,3.8-5.0,.750,,,,,,,,,,4,34.0,77,29-47,.617,4-15,.267,15-20,.750,,,,,,,,,
432,Justin Hamilton,FLA,,,,,,,,,,,,,,,,,,,2,11.5,4.5,7.0,9,14,.643,6,8,.750,1.64,.750,31,7.8,3.0,5.3,92,165,.558,70,109,.642,1.47,.624,,,,,,,,,,,,,,,2,11.5,1.5,3,3,6,.500,6,8,.750,1.64,.750,,,,,,,,,,,,,1,45.0,6,6.0,4,4.0,5.3,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Karl-Anthony Towns,UK,,,,,,,,,,,,,,,,,,,5,14.2,5.4,8.6,27,43,.628,27,43,.628,1.65,.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,23.4,8,16,1.60,2.74,0.50,34,20.7,80,99,2.35,4.54,0.81,,,,,,,,,,,,,,,,,,,5,23.4,71,27-43,.628,0-0,.000,17-21,.810,,,,,,,,,
434,Kay Felder,OAK,,,,,,,,,,,,,,,,,,,1,37.0,13.0,22.0,13,22,.591,10,14,.714,1.68,.659,,,,,,,,,,,,,3,26.7,6.7,7.7,20,23,.870,32,24.2,6.8,8.1,219,259,.846,,,,,,,,,,,,,,,,,,,,,,,,,1,40.0,11,11.0,4,4.0,11.0,2.75,33,32.4,212,6.4,93,2.8,7.9,2.28,,,,,,,,,,,32,36.8,65,2.03,2.21,110,3.44,99,0.59,0.66,,,,,,,,,,,,,,,1,40.0,37.0,13.0-22.0,.591,3.0-8.0,.375,8.0-10.0,.800,32,36.8,24.2,7.6-17.3,.439,2.1-6.0,.354,6.8-8.1,.846,3,36.7,80,26-58,.448,8-22,.364,20-23,.870,32,36.8,773,243-554,.439,68-192,.354,219-259,.846
435,Keith Langford,KU,,,,,,,,,,,,,,,,,,,5,10.8,3.0,5.0,15,25,.600,15,21,.714,2.16,.600,,,,,,,,,,,,,1,6.0,4.0,4.0,4,4,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31.0,8,2.00,2.58,7,1.75,10,1.14,0.80,,,,,,,,,,,,,,,,,,,,,,,,,6,33.5,18.2,7.7-14.5,.529,0.0-1.8,.000,2.8-4.5,.630,,,,,,,,,,4,31.0,53,18-41,.439,2-9,.222,15-24,.625,,,,,,,,,
436,Keith McLeod,BGSU,,,,,,,,,,,,,,,,,,,1,23.0,8.0,13.0,8,13,.615,5,8,.625,1.77,.731,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23.0,3.0,5,3,5,.600,5,8,.625,1.77,.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,33.7,64,2.00,2.38,95,2.97,84,0.67,0.76,,,,,,,,,,,,,,,1,32.0,23.0,8.0-13.0,.615,3.0-5.0,.600,4.0-7.0,.571,32,33.7,22.9,6.8-15.1,.447,2.7-6.6,.408,6.7-8.2,.814,,,,,,,,,,32,33.7,732,216-483,.447,86-211,.408,214-263,.814
437,Kelenna Azubuike,UK,,,,,,,,,,,,,,,,,,,2,13.0,5.0,8.5,10,17,.588,8,12,.667,1.53,.647,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13.3,1.3,3,5,10,.500,11,22,.500,1.66,.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34.5,4,5,2.00,2.32,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,4,30.8,53,16-32,.500,5-10,.500,16-22,.727,,,,,,,,,
438,Kendall Marshall,UNC,,,,,,,,,,,,,,,,,,,2,14.5,6.0,7.5,12,15,.800,10,12,.833,1.93,.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.5,21,10.5,7,3.5,12.5,3.00,33,23.4,191,5.8,81,2.5,9.9,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Kosta Koufos,OSU,,,,,,,,,,,,,,,,,,,5,18.2,8.0,12.2,40,61,.656,37,54,.685,1.49,.680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27.6,8,16,1.60,2.32,0.50,32,27.0,59,65,1.84,2.73,0.91,5,27.6,18.2,8.0-12.2,.656,0.6-1.4,.429,1.6-2.6,.615,,,,,,,,,,5,27.6,91,40-61,.656,3-7,.429,8-13,.615,,,,,,,,,
440,Kyle Lowry,VILL,,,,,,,,,,,,,,,,,,,3,13.7,5.3,9.0,16,27,.593,15,23,.652,1.52,.611,,,,,,,,,,,,,4,6.8,3.3,4.0,13,16,.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26.7,8,2.67,4.00,2,0.67,7,4.00,1.14,29,29.1,68,2.34,3.22,65,2.24,82,1.05,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26.7,41,16-27,.593,1-4,.250,8-14,.571,,,,,,,,,
441,Kyle Wiltjer,GONZ,,,,,,,,,,,,,,,,,,,4,17.8,7.0,12.3,28,49,.571,21,34,.618,1.45,.643,,,,,,,,,,,,,,,,,,,,33,20.7,3.8,4.3,124,143,.867,3,17.7,3.0,5,9,15,.600,12,26,.462,1.29,.622,34,16.7,1.8,4,61,131,.466,153,268,.571,1.42,.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,27.3,16.7,6.3-11.7,.536,1.8-3.9,.466,2.3-2.9,.788,3,33.0,53,21-41,.512,9-15,.600,2-4,.500,34,27.3,567,214-399,.536,61-131,.466,78-99,.788
442,L.J. Peak,GTWN,,,,,,,,,,,,,,,,,,,2,9.0,3.5,5.0,7,10,.700,4,5,.800,1.80,.850,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9.0,1.5,3,3,5,.600,4,5,.800,1.80,.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
