,Unnamed: 0,Unnamed: 0_x,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x.1,PPG_x,FGM_x,FGA_x,FGM_x.1,FGA_x.1,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x.1,GP_y.1,PPG_y,FGM_y,FGA_y,FGM_y.1,FGA_y.1,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y.1,GP_x.2,PPG_x.1,FTM_x,FTA_x,FTM_x.1,FTA_x.1,FT%_x,GP_y.2,PPG_y.1,FTM_y,FTA_y,FTM_y.1,FTA_y.1,FT%_y,GP_x.3,PPG_x.2,3PM_x,3PA_x,3PM_x.1,3PA_x.1,3P%_x,2PM_x.1,2PA_x.1,2P%_x.1,PPS_x.1,FG%_x.2,GP_y.3,PPG_y.2,3PM_y,3PA_y,3PM_y.1,3PA_y.1,3P%_y,2PM_y.1,2PA_y.1,2P%_y.1,PPS_y.1,FG%_y.2,GP_x.4,MPG_x.1,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y.4,MPG_y.1,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x.5,MPG_x.2,STL_x,STPG_x,STP40M_x,TO_x.1,TOPG_x.1,PF_x,ST/TO_x,ST/PF_x,GP_y.5,MPG_y.2,STL_y,STPG_y,STP40M_y,TO_y.1,TOPG_y.1,PF_y,ST/TO_y,ST/PF_y,GP_x.6,MPG_x.3,BLK_x,PF_x.1,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y.6,MPG_y.3,BLK_y,PF_y.1,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x.7,MPG_x.4,PTS_x,FGM-FGA_x,FG%_x.3,3PM-3PA_x,3P%_x.1,FTM-FTA_x,FT%_x.1,GP_y.7,MPG_y.4,PTS_y,FGM-FGA_y,FG%_y.3,3PM-3PA_y,3P%_y.1,FTM-FTA_y,FT%_y.1,GP_x.8,MPG_x.5,PTS_x.1,FGM-FGA_x.1,FG%_x.4,3PM-3PA_x.1,3P%_x.2,FTM-FTA_x.1,FT%_x.2,GP_y.8,MPG_y.5,PTS_y.1,FGM-FGA_y.1,FG%_y.4,3PM-3PA_y.1,3P%_y.2,FTM-FTA_y.1,FT%_y.2,Unnamed: 0_y,Team,Salary,Position,Season,Percentile
463,463,463,Robin Lopez,STAN,,,,,,,,,,,,,,,,,,,3.0,12.7,5.7,9.3,17.0,28.0,0.607,17.0,28.0,0.607,1.36,0.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,1.0,5.0,1.0,3.33,0.2,30.0,24.4,72.0,67.0,2.4,3.94,1.07,,,,,,,,,,,,,,,,,,,3.0,27.3,38.0,0.6071428571428571,0.607,0,0.0,0.4444444444444444,0.444,,,,,,,,,,2061,Phoenix Suns,1623720.0, C,2008-2009,0.302211302
464,464,464,Rondae Hollis-Jefferson,ARIZ,,,,,,,,,,,,,,,,,,,4.0,14.0,4.5,6.8,18.0,27.0,0.667,18.0,27.0,0.667,2.07,0.667,,,,,,,,,,,,,4.0,14.0,5.0,5.8,20.0,23.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,27.3,8.0,12.0,2.0,2.94,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,27.3,56.0,0.6666666666666666,0.667,0,0.0,0.8695652173913043,0.87,,,,,,,,,,5196,Brooklyn Nets,1335480.0, SF,2015-2016,0.307159353
465,465,465,Royal Ivey,TEX,,,,,,,,,,,,,,,,,,,3.0,13.7,3.7,6.7,11.0,20.0,0.55,11.0,19.0,0.579,2.05,0.55,,,,,,,,,,,,,3.0,7.3,2.3,2.7,7.0,8.0,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,36.3,15.0,5.0,5.0,1.7,5.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,36.3,41.0,0.55,0.55,0.0,0.0,0.9047619047619048,0.905,,,,,,,,,,909,Atlanta Hawks,641748.0, PG,2005-2006,0.09
466,466,466,Ryan Hollins,UCLA,,,,,,,,,,,,,,,,,,,6.0,10.7,3.8,5.3,23.0,32.0,0.7190000000000001,23.0,32.0,0.7190000000000001,2.0,0.7190000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,21.0,1.0,3.0,1.0,1.9,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,25.8,64.0,0.71875,0.7190000000000001,0,0.0,0.6206896551724138,0.621,,,,,,,,,,1334,Charlotte Bobcats,412718.0, C,2006-2007,0.060386472999999996
467,467,467,Sam Dekker,WIS,,,,,,,,,,,,,,,,,,,6.0,19.2,7.3,12.8,44.0,77.0,0.5710000000000001,29.0,41.0,0.7070000000000001,1.49,0.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,34.2,19.2,0.5703125,0.5710000000000001,0.4166666666666667,0.417,0.7142857142857143,0.706,,,,,,,,,,5.0,28.2,52.0,0.4473684210526316,0.447,0.3333333333333333,0.333,0.7647058823529411,0.765,,,,,,,,,,5174,Houston Rockets,1646400.0, SF,2015-2016,0.35796766700000004
468,468,468,Sam Young,PITT,,,,,,,,,,,,,,,,,,,2.0,9.0,4.0,7.5,8.0,15.0,0.5329999999999999,8.0,13.0,0.615,1.2,0.5329999999999999,,,,,,,,,,,,,2.0,14.5,3.5,4.0,7.0,8.0,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,29.5,5.0,6.0,2.5,3.39,0.83,,,,,,,,4.0,38.5,23.3,0.5253164556962026,0.524,0.4761904761904762,0.48,0.95,0.938,32.0,31.0,18.7,0.49650349650349646,0.499,0.34210526315789475,0.35,0.7209302325581396,0.7170000000000001,3.0,22.0,37.0,0.41379310344827586,0.414,0.25,0.25,0.5714285714285714,0.5710000000000001,32.0,31.0,597.0,0.4989059080962801,0.499,0.35,0.35,0.717391304347826,0.7170000000000001,2545,Memphis Grizzlies,824200.0, SF,2009-2010,0.14047619
469,469,469,Samardo Samuels,LOU,,,,,,,,,,,,,,,,,,,1.0,16.0,6.0,8.0,6.0,8.0,0.75,6.0,8.0,0.75,2.0,0.75,33.0,11.9,4.5,7.5,147.0,249.0,0.59,147.0,248.0,0.593,1.58,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,27.8,10.0,12.0,2.5,3.6,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,27.8,42.0,0.48484848484848486,0.485,0,0.0,0.625,0.625,,,,,,,,,,3005,Cleveland Cavaliers,500000.0, PF,2010-2011,0.10290827699999999
470,470,470,Sean Williams,BC,,,,,,,,,,,,,,,,,,,2.0,8.5,3.5,5.0,7.0,10.0,0.7,7.0,10.0,0.7,1.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.5,3.0,7.0,1.5,2.67,0.43,24.0,16.6,46.0,72.0,1.92,4.61,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649,New Jersey Nets,1416600.0, PF,2007-2008,0.306220096
471,471,471,Shaquille Harrison,TLSA,,,,,,,,,,,,,,,,,,,1.0,23.0,10.0,13.0,10.0,13.0,0.769,9.0,12.0,0.75,1.77,0.8079999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30.0,5.0,5.0,2.0,2.0,6.7,2.5,,,,,,,,,1.0,33.0,2.0,2.0,2.42,2.0,2.0,2.0,1.0,1.0,33.0,30.2,60.0,1.82,2.41,73.0,2.21,73.0,0.82,0.82,,,,,,,,,,,,,,,1.0,30.0,23.0,0.7692307692307693,0.769,1.0,1.0,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6236,Phoenix Suns,175000.0, PG,2017-2018,0.03887689
472,472,472,Shavlik Randolph,DUKE,,,,,,,,,,,,,,,,,,,5.0,10.2,4.0,5.2,20.0,26.0,0.769,20.0,26.0,0.769,1.96,0.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,16.6,5.0,20.0,1.0,2.41,0.25,26.0,18.8,42.0,78.0,1.62,3.44,0.54,,,,,,,,,,,,,,,,,,,5.0,16.6,51.0,0.7692307692307693,0.769,0,0.0,0.55,0.55,,,,,,,,,,1273,Philadelphia 76ers,1000000.0, PF,2006-2007,0.20772946899999997
473,473,473,Sonny Weems,ARK,,,,,,,,,,,,,,,,,,,2.0,25.0,10.0,17.0,20.0,34.0,0.588,16.0,24.0,0.667,1.47,0.647,,,,,,,,,,,,,2.0,25.0,3.0,3.0,6.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,36.5,25.0,0.5882352941176471,0.588,0.4,0.4,1.0,1.0,,,,,,,,,,2.0,36.5,50.0,0.5882352941176471,0.588,0.4,0.4,1.0,1.0,,,,,,,,,,2167,Denver Nuggets,442114.0, SG,2008-2009,0.041769042
474,474,474,Steven Hill,ARK,,,,,,,,,,,,,,,,,,,1.0,6.0,3.0,5.0,3.0,5.0,0.6,3.0,5.0,0.6,1.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,2.0,2.0,3.48,2.0,2.0,3.0,1.0,0.67,,,,,,,,,,,1.0,23.0,4.0,3.0,4.0,6.96,1.33,30.0,15.7,54.0,58.0,1.8,4.59,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168,Oklahoma City Thunder,442114.0, C,2008-2009,0.039312039
475,475,475,T.J. McConnell,DUQ,,,,,,,,,,,,,,,,,,,2.0,11.0,4.0,6.5,8.0,13.0,0.615,6.0,10.0,0.6,1.69,0.6920000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,23.5,11.0,5.5,3.0,1.5,9.4,3.67,,,,,,,,,2.0,23.5,4.0,2.0,3.4,3.0,1.5,1.0,1.33,4.0,30.0,31.1,87.0,2.9,3.73,53.0,1.77,55.0,1.64,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5288,Philadelphia 76ers,525093.0, PG,2015-2016,0.09468822199999999
476,476,476,T.J. Williams,EWU,,,,,,,,,,,,,,,,,,,1.0,10.0,5.0,8.0,5.0,8.0,0.625,5.0,8.0,0.625,1.25,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6204,Charlotte Hornets,815615.0, PG,2017-2018,0.107991361
477,477,477,Tarence Kinsey,SC,,,,,,,,,,,,,,,,,,,5.0,19.4,7.4,14.0,37.0,70.0,0.529,30.0,45.0,0.667,1.39,0.579,,,,,,,,,,,,,,,,,,,,33.0,15.3,2.9,3.4,97.0,113.0,0.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,36.8,13.0,2.6,2.83,7.0,1.4,12.0,1.86,1.08,,,,,,,,,,,,,,,,,,,,,,,,,5.0,36.8,19.4,0.5285714285714286,0.529,0.27999999999999997,0.28,0.7619047619047619,0.762,,,,,,,,,,5.0,25.4,42.0,0.4,0.4,0.42857142857142855,0.429,0.5714285714285714,0.5710000000000001,33.0,34.5,505.0,0.4398976982097187,0.44,0.39263803680981596,0.393,0.8584070796460177,0.858,2957,Golden State Warriors,855189.0, SG,2010-2011,0.210290828
478,478,478,Tarik Black,MEM,,,,,,,,,,,,,,,,,,,2.0,9.0,4.0,6.5,8.0,13.0,0.615,8.0,13.0,0.615,1.38,0.615,30.0,8.0,3.2,5.4,95.0,162.0,0.586,95.0,162.0,0.586,1.48,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.0,2.0,5.0,2.0,4.21,0.4,34.0,22.9,56.0,109.0,1.65,2.88,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5475,Los Angeles Lakers,6191000.0, C,2016-2017,0.6839826840000001
479,479,479,Terrel Harris,OKST,,,,,,,,,,,,,,,,,,,2.0,16.0,5.0,8.5,10.0,17.0,0.588,4.0,5.0,0.8,1.88,0.765,,,,,,,,,,,,,2.0,16.0,3.0,3.5,6.0,7.0,0.857,32.0,10.3,2.3,2.7,73.0,87.0,0.8390000000000001,1.0,5.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.67,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,31.7,60.0,1.82,2.3,63.0,1.91,107.0,0.95,0.56,,,,,,,,,,,,,,,1.0,29.0,20.0,0.4375,0.438,0.0,0.0,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,4056,Miami Heat,94154.0, SG,2012-2013,0.037664783
480,480,480,Tim Frazier,PSU,,,,,,,,,,,,,,,,,,,1.0,15.0,5.0,6.0,5.0,6.0,0.833,4.0,4.0,1.0,2.5,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.5,1.0,2.0,2.0,4.0,0.5,1.0,9.0,0.111,1.15,0.308,,,,,,,,,,,,,1.0,40.0,7.0,7.0,3.0,3.0,7.0,2.33,33.0,30.5,166.0,5.0,79.0,2.4,6.6,2.1,1.0,40.0,2.0,2.0,2.0,3.0,3.0,4.0,0.67,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,37.1,18.8,0.41935483870967744,0.419,0.2962962962962963,0.314,0.7936507936507937,0.7909999999999999,,,,,,,,,,32.0,37.1,602.0,0.41851106639839036,0.419,0.313953488372093,0.314,0.7910447761194029,0.7909999999999999,4889,Portland Trail Blazers,59686.0, PG,2014-2015,0.016091954
481,481,481,Toney Douglas,FSU,,,,,,,,,,,,,,,,,,,3.0,11.7,5.0,9.3,15.0,28.0,0.536,14.0,24.0,0.583,1.25,0.5539999999999999,,,,,,,,,,,,,1.0,26.0,8.0,9.0,8.0,9.0,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,31.3,11.0,3.7,7.0,2.3,4.7,1.57,,,,,,,,,,,,,,,,,,,33.0,35.4,90.0,2.73,3.08,91.0,2.76,87.0,0.99,1.03,,,,,,,,,,,,,,,1.0,41.0,26.0,0.5,0.5,0.4,0.4,0.8888888888888888,0.889,,,,,,,,,,3.0,31.3,35.0,0.5357142857142857,0.536,0.25,0.25,0.8,0.8,,,,,,,,,,2517,New York Knicks,996240.0, PG,2009-2010,0.20714285699999999
482,482,482,Tony Allen,OKST,,,,,,,,,,,,,,,,,,,5.0,15.2,5.4,9.4,27.0,47.0,0.574,25.0,42.0,0.595,1.62,0.596,,,,,,,,,,,,,5.0,15.2,4.0,4.4,20.0,22.0,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,34.0,7.0,3.5,7.0,3.5,4.1,1.0,,,,,,,,,2.0,34.0,7.0,3.5,4.12,7.0,3.5,5.0,1.0,1.4,30.0,31.0,56.0,1.87,2.41,83.0,2.77,86.0,0.67,0.65,5.0,33.8,7.0,15.0,1.4,1.66,0.47,,,,,,,,5.0,33.8,15.2,0.574468085106383,0.574,0.4,0.4,0.9090909090909091,0.909,,,,,,,,,,5.0,33.8,76.0,0.574468085106383,0.574,0.4,0.4,0.9090909090909091,0.909,30.0,31.3,485.0,0.49441340782122906,0.494,0.2898550724637681,0.29,0.6453488372093024,0.645,858,Boston Celtics,969600.0, SG,2005-2006,0.2175
