,PTS_x,DRPG_x,TOPG_x,PF_x,RPG_x
390,15.3,,,,
634,20.8,,1.6,8.0,
811,,,,6.0,
576,20.5,,0.0,,
830,,,,,
134,28.5,5.5,2.0,,8.0
502,,,,,
653,19.0,,,5.0,
540,,,6.0,4.0,
316,19.0,,,,
862,18.0,,,,
493,,,,,
86,19.5,6.5,,,13.5
464,,,,,
617,,,0.0,,
744,,,,8.0,
844,,,,,
198,,7.0,,12.0,11.0
442,,,,,
343,,,,,
890,,,,,
420,21.0,,,6.0,
444,,,2.0,,
413,,,,,
414,26.0,,,4.0,
650,25.2,,,,
137,,15.0,,,17.0
666,,,,,
480,,,3.0,4.0,
425,25.0,,,,
387,,,,,
845,,,,,
236,24.0,6.0,,4.0,9.0
70,25.0,5.5,4.5,4.0,9.0
430,23.0,,,,
466,,,,,
772,,,2.8,10.0,
720,,,,3.0,
478,,,,,
125,,5.5,,5.0,8.5
140,18.0,7.0,,,12.0
437,,,,,
332,,,,,
586,17.7,,,,
533,26.0,,,3.0,
193,21.0,5.0,,,9.0
708,16.0,,2.8,,
217,23.0,7.0,6.0,4.0,9.0
786,,,,,
265,25.8,8.6,,,11.0
577,25.8,,,11.0,
277,15.7,6.7,,,10.0
709,22.5,,1.0,,
380,17.0,,,9.0,
90,,6.3,,2.0,8.3
838,,,,,
233,23.0,9.5,,,12.0
294,17.0,6.0,,3.0,8.0
278,,7.0,1.7,,8.0
410,,,,,
228,,5.0,,,7.0
6,18.0,6.5,,,11.5
573,24.0,,2.5,,
800,,,,,
684,25.7,,3.0,,
235,,7.0,,,9.0
462,18.0,,,4.0,
400,,,,,
835,,,,,
602,19.5,,2.0,,
870,,,,,
571,18.0,,5.0,1.0,
94,20.0,8.7,,10.0,11.0
513,19.7,,2.8,,
558,,,2.5,,
785,,,,,
81,,6.0,0.5,,8.5
542,16.7,,1.0,7.0,
53,21.5,6.5,3.5,9.0,7.0
843,,,,,
285,24.0,7.0,,,10.0
142,,4.3,2.7,,7.0
191,,8.7,5.0,7.0,11.0
174,,7.0,1.0,1.0,9.0
187,19.8,7.6,,,10.6
353,,,,,
33,19.0,6.7,,,9.3
603,20.0,,3.0,,
340,18.0,,,,
606,20.0,,,,
839,,,,,
95,19.7,8.7,,,13.3
271,18.0,7.0,,4.0,8.0
329,,,,,
820,,,,,
122,,5.5,,10.0,9.0
570,,,,,
594,16.0,,,,
728,23.0,,1.0,5.0,
740,,,,,
765,,,4.0,3.0,
635,17.5,,1.5,,
46,,8.0,,,12.0
64,19.5,6.0,,0.0,8.0
407,,,,,
433,,,,,
565,,,2.0,,
71,,7.0,6.0,9.0,8.0
344,,,,,
771,,,2.5,,
554,,,2.0,7.0,
574,,,2.8,,
543,18.0,,2.0,,
530,,,4.0,,
162,31.0,7.0,,2.0,8.0
528,16.5,,4.5,,
655,18.3,,,,
741,,,,6.0,
468,23.3,,,,
590,18.8,,5.0,3.0,
264,16.0,5.0,4.0,10.0,7.3
445,22.0,,3.0,7.0,
404,,,,,
803,,,,,
385,29.0,,,2.0,
691,,,,,
331,,,,,
753,,,0.0,3.0,
128,,5.7,,,8.2
486,18.0,,,,
865,21.0,,,,
712,,,,5.0,
642,,,,,
175,21.0,5.0,,,9.0
284,22.3,4.5,,,7.5
115,26.0,9.0,4.0,3.0,13.0
561,21.5,,,,
167,,8.0,,6.0,10.5
369,,,,,
354,,,,,
201,20.0,8.5,,,12.5
582,23.5,,,,
328,,,1.0,,
73,,6.5,,,9.5
678,24.0,,,,
662,,,,,
556,22.5,,2.5,7.0,
43,18.7,6.7,,,9.3
770,,,1.3,,
211,,6.0,4.0,,8.0
185,28.5,6.5,,5.0,8.5
139,16.0,4.0,,,7.5
467,19.2,,,,
361,,,,,
121,32.0,3.0,2.0,8.0,9.0
510,22.0,,,,
366,,,,,
105,16.2,6.2,,,9.2
75,22.8,5.8,,,9.3
199,,4.3,,,8.3
657,,,,,
288,,7.0,,,11.0
872,,,,,
47,21.0,8.0,,,13.0
226,19.0,7.0,,,12.0
458,,,,,
418,,,,,
596,16.0,,2.5,11.0,
492,,,,,
848,,,,,
484,17.0,,2.7,,
599,,,,7.0,
669,21.5,,,,
290,,5.8,,,8.4
17,15.0,4.5,,,7.0
735,18.0,,,,
18,,5.7,,8.0,10.7
498,,,,,
375,,,,,
447,21.5,,2.0,,
506,,,4.0,,
246,19.0,4.0,,,8.0
51,16.5,6.3,,7.0,8.0
764,,,0.0,,
382,16.3,,,,
731,,,,,
11,,6.0,,,16.0
179,19.0,4.8,2.4,,6.8
55,22.0,7.0,,,9.0
196,,6.8,,,10.3
89,,3.0,,,7.0
319,,,,,
291,17.5,4.5,,,10.0
688,18.5,,3.5,,
59,,9.0,,,12.0
45,18.5,4.5,,,8.0
426,18.0,,3.0,3.0,
358,23.0,,,,
323,21.2,,,,
726,,,,,
654,,,,,
825,,,,,
616,22.0,,1.0,10.0,
141,,5.0,,,10.0
119,23.0,8.0,3.5,4.0,8.0
242,,5.5,3.0,,7.8
598,19.0,,3.0,3.0,
423,30.0,,4.5,4.0,
583,17.3,,,,
32,18.0,11.0,,,13.0
546,30.0,,1.0,,
474,,,,3.0,
534,17.3,,,6.0,
633,28.0,,,,
25,,7.5,,4.0,11.5
314,,5.4,,,8.0
220,22.0,6.0,2.0,4.0,13.0
202,20.0,7.0,,3.0,9.5
156,23.5,5.0,3.0,5.0,8.5
519,,,3.4,,
754,,,0.0,4.0,
249,,4.8,,,8.0
758,,,2.0,,
151,,3.3,,,7.8
427,35.0,,,,
612,,,2.0,3.0,
160,16.0,8.0,,,12.0
389,23.0,,,,
739,17.5,,,,
49,,6.0,,,8.7
54,18.0,6.0,,,12.0
501,,,,2.0,
863,20.0,,,,
500,,,,,
846,,,,,
733,,,,,
608,,,4.0,6.0,
214,22.0,5.0,,2.0,7.0
312,24.0,7.0,,,10.0
555,,,,,
194,,5.5,,,8.5
165,,8.0,,,12.5
667,,,,,
161,,11.0,,,14.0
766,,,4.0,,
873,,,,,
215,,8.0,,,12.0
384,,,,,
738,,,,,
429,,,5.0,,
