Team,Salary,Player,Position,Season,Percentile
Chicago Bulls,1805160,Thabo Sefolosha, SF,2007-2008,0.368421053
Golden State Warriors,1800000,Kosta Perovic, C,2007-2008,0.366028708
Minnesota Timberwolves,1769160,Rashad McCants, SG,2007-2008,0.363636364
Los Angeles Lakers,1756951,Sasha Vujacic, SG,2007-2008,0.361244019
New Jersey Nets,1750000,David Wesley, SG,2007-2008,0.358851675
Houston Rockets,1750000,Chuck Hayes, PF,2007-2008,0.35645933
Orlando Magic,1740000,Maurice Evans, SG,2007-2008,0.354066986
New Orleans Hornets,1739160,Julian Wright, SF,2007-2008,0.351674641
Indiana Pacers,1734316,David Harrison, C,2007-2008,0.349282297
Utah Jazz,1715040,Ronnie Brewer, SF,2007-2008,0.346889952
New Jersey Nets,1680600,Antoine Wright, SF,2007-2008,0.344497608
LA Clippers,1652280,Al Thornton, SF,2007-2008,0.342105263
Cleveland Cavaliers,1629120,Cedric Simmons, SF,2007-2008,0.339712919
LA Clippers,1600000,Brevin Knight, PG,2007-2008,0.337320574
Brooklyn Nets,1600000,Clifford Robinson, PF,2007-2008,0.33492823
Toronto Raptors,1596600,Joey Graham, SF,2007-2008,0.332535885
Seattle SuperSonics,1593000,Adrian Griffin, SG,2007-2008,0.330143541
Detroit Pistons,1569600,Rodney Stuckey, PG,2007-2008,0.327751196
Philadelphia 76ers,1547760,Rodney Carney, SG,2007-2008,0.325358852
Minnesota Timberwolves,1529873,Justin Reed, SF,2007-2008,0.322966507
Indiana Pacers,1516800,Danny Granger, SF,2007-2008,0.320574163
Indiana Pacers,1500000,Travis Diener, PG,2007-2008,0.318181818
Boston Celtics,1500000,Eddie House, SG,2007-2008,0.315789474
Washington Wizards,1491240,Nick Young, G,2007-2008,0.313397129
Indiana Pacers,1470360,Shawne Williams, SF,2007-2008,0.311004785
Minnesota Timberwolves,1440960,Gerald Green, SG,2007-2008,0.30861244
New Jersey Nets,1416600,Sean Williams, PF,2007-2008,0.306220096
Memphis Grizzlies,1376040,Hakim Warrick, PF,2007-2008,0.303827751
Golden State Warriors,1345800,Marco Belinelli, G,2007-2008,0.301435407
Washington Wizards,1345800,Oleksiy Pecherov, C,2007-2008,0.299043062
Sacramento Kings,1333920,Quincy Douby, SG,2007-2008,0.296650718
Memphis Grizzlies,1285200,Javaris Crittenton, PG,2007-2008,0.294258373
New York Knicks,1280640,Renaldo Balkman, SF,2007-2008,0.291866029
LA Clippers,1276320,Alexis Ajinca, C,2007-2008,0.289473684
New York Knicks,1268160,Nate Robinson, PG,2007-2008,0.28708134
Philadelphia 76ers,1233840,Jason Smith, PF,2007-2008,0.284688995
Boston Celtics,1229280,Rajon Rondo, PG,2007-2008,0.282296651
San Antonio Spurs,1219590,Jacque Vaughn, PG,2007-2008,0.279904306
Orlando Magic,1219590,Adonal Foyle, C,2007-2008,0.277511962
Portland Trail Blazers,1217400,Jarrett Jack, G,2007-2008,0.275119617
Detroit Pistons,1200000,Jarvis Hayes, SF,2007-2008,0.272727273
Cleveland Cavaliers,1200000,Devin Brown, SG,2007-2008,0.270334928
Miami Heat,1184400,Daequan Cook, SG,2007-2008,0.267942584
New Jersey Nets,1180200,Marcus Williams, PG,2007-2008,0.265550239
Sacramento Kings,1168800,Francisco Garcia, SG,2007-2008,0.263157895
Charlotte Bobcats,1137000,Jared Dudley, SF,2007-2008,0.26076555
New Jersey Nets,1133040,Josh Boone, C,2007-2008,0.258373206
Philadelphia 76ers,1130000,Shavlik Randolph, PF,2007-2008,0.255980861
Houston Rockets,1122000,Luther Head, PG,2007-2008,0.253588517
Philadelphia 76ers,1103225,Calvin Booth, C,2007-2008,0.251196172
Utah Jazz,1100000,Ronnie Price, PG,2007-2008,0.248803828
New York Knicks,1091640,Wilson Chandler, SF,2007-2008,0.246411483
Memphis Grizzlies,1087680,Kyle Lowry, PG,2007-2008,0.244019139
Madrid Real Madrid,1084080,Rudy Fernandez, SG,2007-2008,0.241626794
Brooklyn Nets,1080000,Bernard Robinson, SG,2007-2008,0.23923445
Seattle SuperSonics,1077120,Johan Petro, C,2007-2008,0.236842105
Cleveland Cavaliers,1044120,Shannon Brown, PG,2007-2008,0.234449761
Detroit Pistons,1041360,Jason Maxiell, PF,2007-2008,0.232057416
Denver Nuggets,1011360,Linas Kleiza, SF,2007-2008,0.229665072
Los Angeles Lakers,1009560,Jordan Farmar, PG,2007-2008,0.227272727
Utah Jazz,1005960,Morris Almond, SG,2007-2008,0.224880383
San Antonio Spurs,1000000,Ime Udoka, SG,2007-2008,0.222488038
Miami Heat,997800,Wayne Simien, PF,2007-2008,0.220095694
New York Knicks,990600,David Lee, PF,2007-2008,0.217703349
New Jersey Nets,974400,Maurice Ager, SF,2007-2008,0.215311005
Miami Heat,973328,Earl Barron, C,2007-2008,0.21291866
Houston Rockets,972720,Aaron Brooks, G,2007-2008,0.210526316
New York Knicks,967320,Mardy Collins, PG,2007-2008,0.208133971
Utah Jazz,945610,CJ Miles, SF,2007-2008,0.205741627
Washington Wizards,945610,Donell Taylor, PG,2007-2008,0.203349282
Detroit Pistons,944520,Arron Afflalo, G,2007-2008,0.200956938
Phoenix Suns,931920,Alando Tucker, SF,2007-2008,0.198564593
New Orleans Hornets,895341,Melvin Ely, C,2007-2008,0.196172249
New Orleans Hornets,885294,Chris Andersen, PF,2007-2008,0.193779904
Washington Wizards,862456,Mike Hall, F,2007-2008,0.19138756
Sacramento Kings,862456,Justin Williams, PF,2007-2008,0.188995215
Brooklyn Nets,850000,Mile Ilic, C,2007-2008,0.186602871
LA Clippers,826046,Quinton Ross, SF,2007-2008,0.184210526
Portland Trail Blazers,817000,Sergio Rodriguez, PG,2007-2008,0.181818182
New York Knicks,810000,Randolph Morris, C,2007-2008,0.179425837
Seattle SuperSonics,802000,Mickael Gelabale, SF,2007-2008,0.177033493
LA Clippers,800000,Josh Powell, PF,2007-2008,0.174641148
Atlanta Hawks,783000,Salim Stoudamire, SG,2007-2008,0.172248804
Indiana Pacers,770610,Kareem Rush, SG,2007-2008,0.169856459
LA Clippers,770610,Daniel Ewing, PG,2007-2008,0.167464115
LA Clippers,770610,Ruben Patterson, PF,2007-2008,0.16507177
Dallas Mavericks,770610,Brandon Bass, PF,2007-2008,0.162679426
Charlotte Bobcats,770610,Derek Anderson, SG,2007-2008,0.160287081
Charlotte Bobcats,770610,Jeff McInnis, PG,2007-2008,0.157894737
Phoenix Suns,770610,Sean Marks, PF,2007-2008,0.155502392
Memphis Grizzlies,770610,Casey Jacobsen, SG,2007-2008,0.153110048
Phoenix Suns,770610,Brian Skinner, PF,2007-2008,0.150717703
Portland Trail Blazers,770610,Von Wafer, SG,2007-2008,0.148325359
Boston Celtics,770610,Scot Pollard, C,2007-2008,0.145933014
Dallas Mavericks,761544,Juwan Howard, PF,2007-2008,0.14354067
Utah Jazz,750000,Kyrylo Fesenko, C,2007-2008,0.141148325
Atlanta Hawks,729000,Solomon Jones, PF,2007-2008,0.138755981
Seattle SuperSonics,693549,Eddie Gill, PG,2007-2008,0.136363636
Minnesota Timberwolves,687456,Craig Smith, PF,2007-2008,0.133971292
Charlotte Bobcats,687456,Ryan Hollins, C,2007-2008,0.131578947
Denver Nuggets,687456,Yakhouba Diawara, SG,2007-2008,0.129186603
Boston Celtics,687456,Leon Powe, PF,2007-2008,0.126794258
LA Clippers,687456,Paul Davis, C,2007-2008,0.124401914
Los Angeles Lakers,687456,Devin Green, SG,2007-2008,0.122009569
Golden State Warriors,687456,Kelenna Azubuike, SF,2007-2008,0.119617225
Boston Celtics,650000,Gabe Pruitt, PG,2007-2008,0.11722488
Denver Nuggets,634620,Jelani McCoy, PF,2007-2008,0.114832536
San Antonio Spurs,625840,Ian Mahinmi, C,2007-2008,0.112440191
Sacramento Kings,584757,Dahntay Jones, SG,2007-2008,0.110047847
LA Clippers,566625,Richie Frahm, SG,2007-2008,0.107655502
Sacramento Kings,561544,Beno Udrih, PG,2007-2008,0.105263158
Memphis Grizzlies,538090,Juan Carlos Navarro, PG,2007-2008,0.102870813
Orlando Magic,427163,Marcin Gortat, C,2007-2008,0.100478469
Boston Celtics,427163,Glen Davis, PF,2007-2008,0.098086124
Chicago Bulls,427163,JamesOn Curry, PG,2007-2008,0.09569378
Portland Trail Blazers,427163,Josh McRoberts, PF,2007-2008,0.093301435
Los Angeles Lakers,427163,Coby Karl, PG,2007-2008,0.090909091
Toronto Raptors,427163,Jamario Moon, SF,2007-2008,0.088516746
Washington Wizards,427163,Dominic McGuire, PF,2007-2008,0.086124402
Cleveland Cavaliers,427163,Demetris Nichols, SF,2007-2008,0.083732057
Milwaukee Bucks,427163,Ramon Sessions, G,2007-2008,0.081339713
null Unknown,427163,Larry Turner, NA,2007-2008,0.078947368
null Unknown,427163,Elton Brown, NA,2007-2008,0.076555024
Minnesota Timberwolves,427163,Chris Richard, PF,2007-2008,0.074162679
Boston Celtics,427163,Brandon Wallace, NA,2007-2008,0.071770335
Golden State Warriors,358107,Chris Webber, C,2007-2008,0.06937799
Charlotte Bobcats,349041,Earl Boykins, PG,2007-2008,0.066985646
Memphis Grizzlies,335442,Damon Stoudamire, PG,2007-2008,0.064593301
Indiana Pacers,319116,Courtney Sims, C,2007-2008,0.062200957
San Antonio Spurs,278912,Keith Langford, SG,2007-2008,0.059808612
Golden State Warriors,251272,C.J. Watson, PG,2007-2008,0.057416268
Memphis Grizzlies,238588,Jeremy Richardson, SG,2007-2008,0.055023923
New Jersey Nets,231183,Jamaal Magloire, C,2007-2008,0.052631579
Boston Celtics,226650,P.J. Brown, PF,2007-2008,0.050239234
Indiana Pacers,213051,Ronald Murray, SG,2007-2008,0.04784689
Utah Jazz,199452,Gordan Giricek, SG,2007-2008,0.045454545
Minnesota Timberwolves,199452,Theo Ratliff, C,2007-2008,0.043062201
Sacramento Kings,199452,Tyronn Lue, PG,2007-2008,0.040669856
Miami Heat,181320,Smush Parker, PG,2007-2008,0.038277512
San Antonio Spurs,172177,Brent Barry, SG,2007-2008,0.035885167
Houston Rockets,142201,Loren Woods, C,2007-2008,0.033492823
LA Clippers,125636,Nick Fazekas, PF,2007-2008,0.031100478
Seattle SuperSonics,122391,Ira Newble, SF,2007-2008,0.028708134
Houston Rockets,100509,Mike Harris, SF,2007-2008,0.026315789
Los Angeles Lakers,90660,Didier Ilunga-Mbenga, C,2007-2008,0.023923445
Cleveland Cavaliers,87945,Lance Allred, C,2007-2008,0.0215311
Miami Heat,67844,Blake Ahearn, G,2007-2008,0.019138756
Miami Heat,67844,Stephane Lasme, PF,2007-2008,0.016746411
Seattle SuperSonics,63462,Ronald Dupree, SF,2007-2008,0.014354067
San Antonio Spurs,50254,Marcus Williams, SG,2007-2008,0.011961722
Miami Heat,36395,Kasib Powell, SF,2007-2008,0.009569378
San Antonio Spurs,27198,DerMarr Johnson, SF,2007-2008,0.007177033
Memphis Grizzlies,24263,Bobby Jones, SF,2007-2008,0.004784689
Toronto Raptors,4533,Linton Johnson, PF,2007-2008,0.002392344
New Jersey Nets,4533,Billy Thomas, SG,2007-2008,0
Boston Celtics,24751934,Kevin Garnett, PF,2008-2009,0.997542998
Boston Celtics,18388430,Ray Allen, SG,2008-2009,0.995085995
Dallas Mavericks,18077904,Dirk Nowitzki, PF,2008-2009,0.992628993
Boston Celtics,18077903,Paul Pierce, SF,2008-2009,0.99017199
Toronto Raptors,17810000,Shawn Marion, SG,2008-2009,0.987714988
Orlando Magic,16447871,Rashard Lewis, PF,2008-2009,0.985257985
Milwaukee Bucks,15780000,Michael Redd, SG,2008-2009,0.982800983
Los Angeles Lakers,15106000,Pau Gasol, C,2008-2009,0.98034398
Utah Jazz,15106000,Andrei Kirilenko, SF,2008-2009,0.977886978
Phoenix Suns,15070550,Amar'e Stoudemire, C,2008-2009,0.975429975
Houston Rockets,15070550,Yao Ming, C,2008-2009,0.972972973
Dallas Mavericks,21372000,Jason Kidd, PG,2008-2009,0.970515971
Atlanta Hawks,14983603,Mike Bibby, PG,2008-2009,0.968058968
New Jersey Nets,14724125,Vince Carter, SF,2008-2009,0.965601966
New York Knicks,14666667,Zach Randolph, PF,2008-2009,0.963144963
Washington Wizards,14653466,Gilbert Arenas, PG,2008-2009,0.960687961
Cleveland Cavaliers,14500000,Ben Wallace, PF,2008-2009,0.958230958
Denver Nuggets,14431816,Kenyon Martin, PF,2008-2009,0.955773956
Miami Heat,14410581,Dwyane Wade, SG,2008-2009,0.953316953
Toronto Raptors,14410581,Chris Bosh, PF,2008-2009,0.950859951
Cleveland Cavaliers,14410581,LeBron James, SF,2008-2009,0.948402948
Denver Nuggets,14410581,Carmelo Anthony, PF,2008-2009,0.945945946
Toronto Raptors,21372000,Jermaine O'Neal, C,2008-2009,0.943488943
Atlanta Hawks,14232567,Joe Johnson, G,2008-2009,0.941031941
Los Angeles Lakers,14148596,Lamar Odom, PF,2008-2009,0.938574939
Detroit Pistons,13930000,Rasheed Wallace, PF,2008-2009,0.936117936
Cleveland Cavaliers,13775000,Wally Szczerbiak, SG,2008-2009,0.933660934
Orlando Magic,13758000,Dwight Howard, C,2008-2009,0.931203931
Philadelphia 76ers,13757844,Elton Brand, PF,2008-2009,0.928746929
Milwaukee Bucks,13200000,Richard Jefferson, F,2008-2009,0.926289926
New York Knicks,12827676,Larry Hughes, SG,2008-2009,0.923832924
Portland Trail Blazers,12722500,Raef LaFrentz, C,2008-2009,0.921375921
New Orleans Hornets,12528000,Peja Stojakovic, SF,2008-2009,0.918918919
Los Angeles Lakers,21262500,Kobe Bryant, SF,2008-2009,0.916461916
Phoenix Suns,12250000,Steve Nash, PG,2008-2009,0.914004914
Phoenix Suns,21000000,Shaquille O'Neal, C,2008-2009,0.911547912
Detroit Pistons,20840625,Allen Iverson, SG,2008-2009,0.909090909
Boston Celtics,20840625,Stephon Marbury, PG,2008-2009,0.906633907
San Antonio Spurs,20598704,Tim Duncan, C,2008-2009,0.904176904
Houston Rockets,20370437,Tracy McGrady, SG,2008-2009,0.901719902
Charlotte Bobcats,12222221,Jason Richardson, SG,2008-2009,0.899262899
Utah Jazz,11593817,Carlos Boozer, PF,2008-2009,0.896805897
Dallas Mavericks,11553000,Erick Dampier, C,2008-2009,0.894348894
San Antonio Spurs,11550000,Tony Parker, PG,2008-2009,0.891891892
Sacramento Kings,11375000,Brad Miller, C,2008-2009,0.889434889
New Orleans Hornets,11350000,Tyson Chandler, C,2008-2009,0.886977887
Philadelphia 76ers,11300000,Andre Iguodala, SG,2008-2009,0.884520885
LA Clippers,11250000,Baron Davis, PG,2008-2009,0.882063882
Philadelphia 76ers,11238564,Samuel Dalembert, C,2008-2009,0.87960688
Detroit Pistons,11050000,Chauncey Billups, PG,2008-2009,0.877149877
Minnesota Timberwolves,11000000,Al Jefferson, C,2008-2009,0.874692875
Golden State Warriors,11000000,Monta Ellis, SG,2008-2009,0.872235872
Cleveland Cavaliers,10841615,Zydrunas Ilgauskas, C,2008-2009,0.86977887
Detroit Pistons,10812500,Richard Hamilton, SG,2008-2009,0.867321867
New Jersey Nets,10602667,Bobby Simmons, SF,2008-2009,0.864864865
Philadelphia 76ers,10333334,Andre Miller, PG,2008-2009,0.862407862
Indiana Pacers,10126984,Troy Murphy, PF,2008-2009,0.85995086
LA Clippers,10000000,Marcus Camby, C,2008-2009,0.857493857
Chicago Bulls,10000000,Kirk Hinrich, SG,2008-2009,0.855036855
Dallas Mavericks,9945000,Josh Howard, SF,2008-2009,0.852579853
Washington Wizards,9923285,Antawn Jamison, PF,2008-2009,0.85012285
San Antonio Spurs,9905248,Manu Ginobili, G,2008-2009,0.847665848
New Orleans Hornets,9862500,David West, F,2008-2009,0.845208845
New York Knicks,9723983,Eddy Curry, C,2008-2009,0.842751843
Denver Nuggets,9680000,Nene Hilario, C,2008-2009,0.84029484
Charlotte Bobcats,9537500,Emeka Okafor, C,2008-2009,0.837837838
Charlotte Bobcats,9500000,Gerald Wallace, SF,2008-2009,0.835380835
LA Clippers,9500000,Chris Kaman, C,2008-2009,0.832923833
Detroit Pistons,9500000,Tayshaun Prince, SF,2008-2009,0.83046683
Chicago Bulls,9385000,Luol Deng, SF,2008-2009,0.828009828
Washington Wizards,9249980,Caron Butler, SF,2008-2009,0.825552826
New York Knicks,9226250,Al Harrington, PF,2008-2009,0.823095823
Dallas Mavericks,9196000,Jason Terry, G,2008-2009,0.820638821
Minnesota Timberwolves,9052460,Antoine Walker, PF,2008-2009,0.818181818
Minnesota Timberwolves,9028575,Mike Miller, SG,2008-2009,0.815724816
Golden State Warriors,9000000,Andris Biedrins, C,2008-2009,0.813267813
Charlotte Bobcats,9000000,Boris Diaw, C,2008-2009,0.810810811
Indiana Pacers,9000000,Mike Dunleavy, SG,2008-2009,0.808353808
LA Clippers,8925000,Cuttino Mobley, SG,2008-2009,0.805896806
Sacramento Kings,8760335,Kevin Martin, SG,2008-2009,0.803439803
Indiana Pacers,6864200,Marquis Daniels, SG,2008-2009,0.800982801
Washington Wizards,6864200,Etan Thomas, C,2008-2009,0.798525799
Utah Jazz,6750000,Jamaal Tinsley, PG,2008-2009,0.796068796
Oklahoma City Thunder,6750000,Chris Wilcox, PF,2008-2009,0.793611794
Memphis Grizzlies,6575000,Marko Jaric, PG,2008-2009,0.791154791
Miami Heat,6575000,Udonis Haslem, PF,2008-2009,0.788697789
Milwaukee Bucks,6500000,Luke Ridnour, PG,2008-2009,0.786240786
Sacramento Kings,6487888,Bobby Jackson, PG,2008-2009,0.783783784
Houston Rockets,6448900,Shane Battier, SF,2008-2009,0.781326781
Chicago Bulls,6404750,Ben Gordon, SG,2008-2009,0.778869779
Oklahoma City Thunder,6350000,Nick Collison, F,2008-2009,0.776412776
Portland Trail Blazers,6310150,Joel Przybilla, C,2008-2009,0.773955774
Minnesota Timberwolves,6300000,Brian Cardinal, PF,2008-2009,0.771498771
Milwaukee Bucks,6294195,Andrew Bogut, C,2008-2009,0.769041769
Milwaukee Bucks,6250195,Dan Gadzuric, C,2008-2009,0.766584767
Washington Wizards,6244093,Mike James, PG,2008-2009,0.764127764
Washington Wizards,6200000,Antonio Daniels, PG,2008-2009,0.761670762
Oklahoma City Thunder,6200000,Earl Watson, PG,2008-2009,0.759213759
Sacramento Kings,6200000,Shareef Abdur-Rahim, PF,2008-2009,0.756756757
New York Knicks,6200000,Jerome James, C,2008-2009,0.754299754
Phoenix Suns,6100000,Leandro Barbosa, G,2008-2009,0.751842752
New York Knicks,8685500,Quentin Richardson, SF,2008-2009,0.749385749
New York Knicks,8640000,Jamal Crawford, SG,2008-2009,0.746928747
Sacramento Kings,8562500,Kenny Thomas, PF,2008-2009,0.744471744
Miami Heat,8513916,Mark Blount, C,2008-2009,0.742014742
Utah Jazz,8500000,Mehmet Okur, C,2008-2009,0.73955774
Indiana Pacers,8400000,Rasho Nesterovic, C,2008-2009,0.737100737
Cleveland Cavaliers,8353000,Mo Williams, PG,2008-2009,0.734643735
Golden State Warriors,8275862,Corey Maggette, SF,2008-2009,0.732186732
Sacramento Kings,8000000,Andres Nocioni, SF,2008-2009,0.72972973
Indiana Pacers,8000000,T.J. Ford, PG,2008-2009,0.727272727
New Jersey Nets,7800000,Devin Harris, PG,2008-2009,0.724815725
Orlando Magic,7700000,Jameer Nelson, G,2008-2009,0.722358722
Oklahoma City Thunder,7647500,Malik Rose, PF,2008-2009,0.71990172
Toronto Raptors,7438018,Jose Calderon, PG,2008-2009,0.717444717
Houston Rockets,7400000,Metta World Peace, SF,2008-2009,0.714987715
Cleveland Cavaliers,7312500,Eric Snow, PG,2008-2009,0.712530713
Golden State Warriors,7140000,Stephen Jackson, SF,2008-2009,0.71007371
Memphis Grizzlies,7020000,Darko Milicic, C,2008-2009,0.707616708
Dallas Mavericks,7000000,Jerry Stackhouse, SF,2008-2009,0.705159705
Sacramento Kings,6077151,John Salmons, SF,2008-2009,0.702702703
New York Knicks,6049400,Jared Jeffries, PF,2008-2009,0.7002457
Charlotte Bobcats,6049400,Nazr Mohammed, C,2008-2009,0.697788698
Charlotte Bobcats,6049400,Vladimir Radmanovic, SF,2008-2009,0.695331695
Utah Jazz,6000000,Matt Harpring, SF,2008-2009,0.692874693
Toronto Raptors,5784480,Jason Kapono, SG,2008-2009,0.69041769
Cleveland Cavaliers,5784480,Anderson Varejao, C,2008-2009,0.687960688
Atlanta Hawks,5757818,Speedy Claxton, PG,2008-2009,0.685503686
Orlando Magic,5746000,Tony Battie, C,2008-2009,0.683046683
Atlanta Hawks,5636142,Marvin Williams, PF,2008-2009,0.680589681
Sacramento Kings,5632200,Mikki Moore, C,2008-2009,0.678132678
New Orleans Hornets,5592240,Morris Peterson, SG,2008-2009,0.675675676
New York Knicks,5585000,Chris Duhon, PG,2008-2009,0.673218673
Sacramento Kings,5585000,Beno Udrih, PG,2008-2009,0.670761671
Charlotte Bobcats,5585000,DeSagana Diop, C,2008-2009,0.668304668
Washington Wizards,5500000,Brendan Haywood, C,2008-2009,0.665847666
Indiana Pacers,5500000,Jeff Foster, PF,2008-2009,0.663390663
Orlando Magic,5300000,Mickael Pietrus, SF,2008-2009,0.660933661
Oklahoma City Thunder,5300000,Desmond Mason, SF,2008-2009,0.658476658
Toronto Raptors,5176440,Andrea Bargnani, C,2008-2009,0.656019656
Utah Jazz,5069449,Deron Williams, PG,2008-2009,0.653562654
Charlotte Bobcats,5050000,Matt Carroll, SG,2008-2009,0.651105651
Portland Trail Blazers,5011680,Greg Oden, C,2008-2009,0.648648649
Charlotte Bobcats,5000000,Raja Bell, SG,2008-2009,0.646191646
Denver Nuggets,4985001,JR Smith, SG,2008-2009,0.643734644
Utah Jazz,4956818,Kyle Korver, SG,2008-2009,0.641277641
Orlando Magic,4900000,Rafer Alston, PG,2008-2009,0.638820639
Chicago Bulls,4822800,Derrick Rose, PG,2008-2009,0.636363636
Oklahoma City Thunder,4778548,Nenad Krstic, C,2008-2009,0.633906634
Los Angeles Lakers,4700000,Derek Fisher, PG,2008-2009,0.631449631
Philadelphia 76ers,4640000,Reggie Evans, C,2008-2009,0.628992629
Portland Trail Blazers,4631400,LaMarcus Aldridge, PF,2008-2009,0.626535627
Boston Celtics,4578880,Kendrick Perkins, C,2008-2009,0.624078624
New Orleans Hornets,4574189,Chris Paul, PG,2008-2009,0.621621622
Toronto Raptors,4550000,Anthony Parker, SG,2008-2009,0.619164619
Los Angeles Lakers,4524887,Sasha Vujacic, SG,2008-2009,0.616707617
Cleveland Cavaliers,4500000,Sasha Pavlovic, SG,2008-2009,0.614250614
Philadelphia 76ers,4500000,Lou Williams, SG,2008-2009,0.611793612
Oklahoma City Thunder,4484040,Kevin Durant, SF,2008-2009,0.609336609
Milwaukee Bucks,4460186,Damon Jones, PG,2008-2009,0.606879607
Los Angeles Lakers,4420000,Luke Walton, SF,2008-2009,0.604422604
New Jersey Nets,4350000,Trenton Hassell, SF,2008-2009,0.601965602
Miami Heat,4314960,Michael Beasley, SF,2008-2009,0.5995086
Toronto Raptors,4260000,Marcus Banks, PG,2008-2009,0.597051597
Portland Trail Blazers,4250000,Steve Blake, PG,2008-2009,0.594594595
Washington Wizards,4235000,Darius Songaila, PF,2008-2009,0.592137592
San Antonio Spurs,4200000,Kurt Thomas, PF,2008-2009,0.58968059
Charlotte Bobcats,4159200,Adam Morrison, SF,2008-2009,0.587223587
Charlotte Bobcats,4148715,Raymond Felton, PG,2008-2009,0.584766585
Atlanta Hawks,4023720,Al Horford, C,2008-2009,0.582309582
Memphis Grizzlies,4010005,Greg Buckner, SG,2008-2009,0.57985258
Miami Heat,4010000,James Jones, SG,2008-2009,0.577395577
Detroit Pistons,4000000,Kwame Brown, C,2008-2009,0.574938575
San Antonio Spurs,4000000,Bruce Bowen, SF,2008-2009,0.572481572
Atlanta Hawks,4000000,Zaza Pachulia, C,2008-2009,0.57002457
Memphis Grizzlies,3875040,O.J. Mayo, SG,2008-2009,0.567567568
Memphis Grizzlies,3862600,Steven Hunter, C,2008-2009,0.565110565
Cleveland Cavaliers,3850000,Delonte West, SG,2008-2009,0.562653563
Dallas Mavericks,3792112,Keith Van Horn, PF,2008-2009,0.56019656
Portland Trail Blazers,3771133,Martell Webster, SF,2008-2009,0.557739558
Chicago Bulls,3749880,Tyrus Thomas, PF,2008-2009,0.555282555
Utah Jazz,3700000,CJ Miles, SF,2008-2009,0.552825553
Cleveland Cavaliers,3700000,Daniel Gibson, SG,2008-2009,0.55036855
Detroit Pistons,3666667,Amir Johnson, C,2008-2009,0.547911548
Minnesota Timberwolves,3650000,Ryan Gomes, SF,2008-2009,0.545454545
Memphis Grizzlies,3630480,Mike Conley, PG,2008-2009,0.542997543
New Orleans Hornets,3630000,Rasual Butler, SF,2008-2009,0.540540541
Washington Wizards,3616072,DeShawn Stevenson, SG,2008-2009,0.538083538
San Antonio Spurs,3600000,Fabricio Oberto, C,2008-2009,0.535626536
Oklahoma City Thunder,3579131,Robert Swift, C,2008-2009,0.533169533
San Antonio Spurs,3500000,Roger Mason Jr., SG,2008-2009,0.530712531
Orlando Magic,3500000,Brian Cook, PF,2008-2009,0.528255528
Oklahoma City Thunder,3493680,Russell Westbrook, PG,2008-2009,0.525798526
Milwaukee Bucks,3448050,Charlie Villanueva, PF,2008-2009,0.523341523
Sacramento Kings,3395760,Shelden Williams, C,2008-2009,0.520884521
Philadelphia 76ers,3388000,Willie Green, SG,2008-2009,0.518427518
Milwaukee Bucks,3354480,Charlie Bell, SG,2008-2009,0.515970516
New Jersey Nets,3300000,Keyon Dooling, PG,2008-2009,0.513513514
Oklahoma City Thunder,3287640,Jeff Green, SF,2008-2009,0.511056511
New Jersey Nets,3250000,Eduardo Najera, PF,2008-2009,0.508599509
Oklahoma City Thunder,3240000,Chucky Atkins, PG,2008-2009,0.506142506
Boston Celtics,3206897,Brian Scalabrine, PF,2008-2009,0.503685504
Toronto Raptors,3200000,Kris Humphries, PF,2008-2009,0.501228501
Portland Trail Blazers,3163769,Channing Frye, F,2008-2009,0.498771499
Minnesota Timberwolves,3163680,Kevin Love, PF,2008-2009,0.496314496
Houston Rockets,3100667,Luis Scola, F,2008-2009,0.493857494
Los Angeles Lakers,3100000,Trevor Ariza, SF,2008-2009,0.491400491
Oklahoma City Thunder,3100000,Damien Wilkins, SG,2008-2009,0.488943489
Memphis Grizzlies,3093333,Marc Gasol, C,2008-2009,0.486486486
Portland Trail Blazers,3084240,Brandon Roy, SG,2008-2009,0.484029484
Houston Rockets,3000000,Carl Landry, PF,2008-2009,0.481572482
New Jersey Nets,2986080,Yi Jianlian, SF,2008-2009,0.479115479
San Antonio Spurs,2978000,Matt Bonner, C,2008-2009,0.476658477
Sacramento Kings,2912823,Ike Diogu, PF,2008-2009,0.474201474
Golden State Warriors,2900000,Kelenna Azubuike, SF,2008-2009,0.471744472
New York Knicks,2873520,Danilo Gallinari, SF,2008-2009,0.469287469
Minnesota Timberwolves,2815560,Randy Foye, SG,2008-2009,0.466830467
Los Angeles Lakers,2769300,Andrew Bynum, C,2008-2009,0.464373464
Washington Wizards,2739669,Andray Blatche, C,2008-2009,0.461916462
Minnesota Timberwolves,2725920,Corey Brewer, F,2008-2009,0.459459459
Charlotte Bobcats,2661027,Sean May, C,2008-2009,0.457002457
Boston Celtics,2650000,Eddie House, SG,2008-2009,0.454545455
Houston Rockets,2634480,Steve Francis, PG,2008-2009,0.452088452
Minnesota Timberwolves,2630000,Mark Madsen, PF,2008-2009,0.44963145
LA Clippers,2623200,Eric Gordon, SG,2008-2009,0.447174447
Sacramento Kings,2620126,Rashad McCants, SG,2008-2009,0.444717445
Miami Heat,2612835,Dorell Wright, SF,2008-2009,0.442260442
Memphis Grizzlies,2579400,Rudy Gay, SF,2008-2009,0.43980344
Orlando Magic,2565000,Keith Bogans, SG,2008-2009,0.437346437
